State,Suburb,Brand,address,Postcode,Phone,E10,Regular,91 Octane,98 Octane,LPG,Diesel,Biodiesel,Premium Diesel,Eftpos,Workshop,24 Hours,Car wash,Disabled Toilet,ATM,BBQ Gas,Truckstop,Starcash,E-FLEX,95 Octane,Longitude,Latitude
TAS,WESTBEACH,CALTEX,NRTH TERRACE CNR MOUNT ST,7320,03 64315317,N,Y,N,Y,Y,N,N,Y,Y,Y,N,N,N,Y,N,N,N,N,Y,145.90513,-41.04974
QLD,EAGLE FARM,CALTEX,645-647 KINGSFORD SMITH DRIVE,4007,07 36301977,N,Y,N,Y,Y,Y,N,Y,Y,Y,N,N,N,N,Y,N,N,N,Y,153.077917,-27.434861
NSW,RIVERSTONE,CALTEX,127 GARFIELD RD,2765,02 96271310,N,Y,N,N,N,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,Y,150.850092,-33.685582
WA,EXMOUTH,CALTEX,MURAT RD,6707,08 99491052,N,Y,N,Y,Y,Y,N,N,Y,Y,N,N,Y,Y,Y,N,Y,N,Y,114.127319,-21.93276
QLD,SOUTHPORT,CALTEX,152 SMITH ST CNR KUMBARI AVE,4215,07 55917120,N,Y,N,Y,Y,N,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,153.395343,-27.962341
VIC,GREENVALE,CALTEX,CNR MICKLEHAM RD & GREENVALE DRIVE,3059,03 93331889,N,Y,N,Y,N,N,N,Y,Y,Y,Y,Y,N,Y,Y,N,N,N,Y,144.880817,-37.639964
SA,SEAFORD,CALTEX,336 SEAFORD ROAD,5169,08 83861055,N,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,138.489198,-35.180469
QLD,CALLIOPE,CALTEX,46 STIRRAT STREET,4680,07 4975 7317,N,Y,N,Y,N,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,Y,151.20043,-24.006969
SA,PETERBOROUGH,CALTEX,92 MAIN ST,5422,08 86513222,N,Y,N,Y,Y,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,138.840571,-32.973111
SA,ARDROSSAN,INDEPENDENT,17 FIFTH ST,5571,08 88373309,N,Y,Y,N,N,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,137.918211,-34.423771
NSW,ALEXANDRIA,CALTEX,133 WYNDHAM ST CNR MCEVOY ST,2015,02 96996755,N,Y,N,Y,Y,N,N,Y,Y,Y,Y,Y,N,N,Y,N,N,N,N,151.200147,-33.902072
NSW,NARWEE,CALTEX,CNR BROADARROW & PENSHURST RDS,2209,02 91538857,Y,Y,N,Y,Y,N,N,Y,Y,Y,N,N,N,N,Y,N,N,N,Y,151.070838,-33.94821
NSW,PENDLE HILL,CALTEX,602-606 GREAT WESTERN HWY,2145,02 96882194,Y,N,N,Y,Y,N,N,Y,Y,Y,Y,N,Y,Y,Y,N,Y,Y,Y,150.942444,-33.80851
NSW,BERMAGUI,CALTEX,2 LAMONT STREET,2546,02 64933707,N,Y,N,N,N,Y,N,N,Y,Y,N,N,N,N,Y,N,Y,N,Y,150.079352,-36.425648
QLD,BOYNE ISLAND,CALTEX,MALPAS ST & CURTIS AVE,4680,07 4973 8411,N,Y,N,Y,Y,Y,N,Y,N,Y,N,N,N,N,N,N,N,N,Y,151.351716,-23.954606
QLD,CHERMSIDE,CALTEX,644 WEBSTER RD CNR MILBURN ST,4032,07 33596604,N,Y,N,Y,Y,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,Y,153.022387,-27.380081
WA,GERALDTON,CALTEX,LOT 1753 WILLCOCK DR,6530,08 99212490,N,Y,N,Y,N,Y,N,N,Y,Y,Y,N,N,N,N,1,N,N,N,114.611204,-28.77602
WA,DALWALLINU,CALTEX,LOT 394 RAILWAY PARADE,6609,08 96611244,N,Y,N,Y,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,116.664961,-30.27367
QLD,WOOMBYE,INDEPENDENT,30 PALMWOODS TURNFF,4557,07 54421579,N,Y,Y,N,N,Y,N,N,Y,Y,N,N,N,N,N,1,N,N,N,152.976699,-26.668044
WA,NEDLANDS,CALTEX,1 BROADWAY ST CNR STIRLING HWY,6009,08 93864140,N,Y,N,Y,Y,N,N,Y,Y,Y,Y,N,N,Y,Y,N,Y,N,Y,115.813793,-31.977274
NSW,WEETHALLE,INDEPENDENT,RAILWAY STREET,2669,02 69756116,N,Y,N,N,N,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,Y,146.622915,-33.875356
VIC,WALLAN,CALTEX,130-132 NRTHERN HWY,3756,03 57831175,N,Y,N,Y,Y,N,N,Y,Y,Y,N,N,N,N,Y,N,N,N,N,144.978101,-37.43061
NSW,SOUTH KEMPSEY,CALTEX,PACIFIC HWY CNR 1 ANGUS MCNEIL CRES,2440,02 65624180,N,Y,N,N,N,Y,Y,N,Y,Y,N,N,N,N,N,N,N,N,Y,152.838012,-31.096572
WA,WILLIAMS,CALTEX,LOT 16-17 ALBANY HIGHWAY,6391,08 98851104,N,Y,N,Y,Y,Y,N,N,Y,Y,N,N,Y,N,N,7,N,N,N,116.879,-33.0266
WA,WESTMINSTER,CALTEX,436 WANNEROO RD,6061,08 93494300,N,Y,N,Y,Y,N,N,Y,Y,Y,Y,N,N,Y,Y,N,Y,N,Y,115.829761,-31.868115
TAS,KINGS MEADOWS,CALTEX,90-92 HOBART RD,7250,03 63446273,N,Y,N,N,N,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,Y,147.159198,-41.465508
TAS,KEMPTON,CALTEX,3001 MIDLANDS HIGHWAY,7030,03 62591255,N,Y,N,Y,N,Y,N,Y,Y,Y,Y,N,N,N,Y,2,N,N,N,147.188984,-42.511305
TAS,HUONVILLE,CALTEX,5 MAIN ROAD,7109,03 62642118,N,Y,N,Y,Y,Y,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,147.047338,-43.032448
TAS,CLAREMONT,CALTEX,708 MAIN ROAD,7011,03 62491845,N,Y,N,Y,N,Y,N,Y,Y,Y,Y,N,N,N,Y,N,N,N,Y,147.254581,-42.801877
TAS,HOWRAH,CALTEX,11A HOWRAH RD,7018,03 62479125,N,Y,N,Y,N,Y,N,Y,Y,Y,N,N,N,N,Y,N,N,N,N,147.40501,-42.883189
TAS,GROVE,INDEPENDENT,1952 HUON HIGHWAY (GROVE STORE),7109,03 62664231,N,Y,Y,N,N,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,147.096996,-42.981777
TAS,HOBART,CALTEX,64 SANDY BAY ROAD,7000,03 62235125,N,Y,N,N,N,Y,N,Y,Y,Y,N,N,N,N,N,N,N,N,Y,147.330447,-42.889476
TAS,SOUTH HOBART,CALTEX,414 HUON ROAD,7004,03 62232373,N,Y,Y,N,N,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,147.304442,-42.898559
QLD,CHILDERS,CALTEX,BRUCE HWY,4660,07 4126 1188,Y,Y,N,N,Y,Y,N,N,Y,Y,Y,N,N,Y,N,7,N,N,Y,152.289661,-25.239868
NSW,BUNGENDORE,CALTEX,42 MALBON STREET,2621,02 62381332,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,N,N,Y,N,N,N,Y,149.442648,-35.256451
QLD,SOUTH GLADSTONE,CALTEX,177 TOOLOOA ST,4680,07 4979 1301,Y,Y,N,Y,N,Y,N,Y,N,Y,N,N,N,N,N,1,N,N,N,151.27196,-23.865209
QLD,MILES,AMPOL,90 MURILLA STREET,4415,07 4627 1640,N,Y,N,N,N,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,Y,150.188388,-26.659828
NSW,DUBBO,CALTEX,COBRA ST CNR BRISBANE ST,2830,02 68844622,Y,N,N,Y,Y,N,N,Y,Y,Y,Y,N,N,Y,Y,N,N,N,Y,148.603004,-32.253262
VIC,FRANKSTON NRTH,CALTEX,170 FRANKSTON-DANDENNG RD CNR JUBI,3200,03 97851553,N,Y,N,Y,Y,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,Y,145.136634,-38.126183
NSW,ALBION PARK RAIL,CALTEX,31 PRINCES HWY,2527,02 42571135,Y,N,N,Y,Y,N,N,Y,Y,Y,Y,N,N,Y,Y,N,Y,N,Y,150.787737,-34.551753
ACT,MITCHELL,CALTEX,116 LYSAGHT ST,2911,02 62414032,Y,Y,N,Y,Y,Y,N,N,Y,Y,N,N,N,N,Y,N,N,N,N,149.139947,-35.215094
VIC,BRIDGEWATER ON LODDON,CALTEX,CNR CALDER HWY & KERANG RD,3516,03 54373042,N,Y,N,Y,Y,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,143.937263,-36.599007
QLD,HUGHENDEN,CALTEX,GRAY ST,4821,07 4741 1132,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,N,1,N,N,Y,144.199826,-20.844693
QLD,BOWEN,CALTEX,BRUCE HWY,4805,07 4786 1771,Y,Y,N,Y,Y,Y,N,N,Y,Y,N,N,N,N,N,7,N,N,N,148.21481,-20.02732
WA,OSBORNE PARK,CALTEX,6-8 MAIN ST,6017,08 94441392,N,Y,N,Y,N,N,N,Y,Y,Y,N,N,N,N,N,N,Y,N,Y,115.828314,-31.913772
VIC,WARRNAMBOOL,AMPOL,634 RAGLAN PDE,3280,03 5561 1853,N,Y,N,N,Y,Y,N,N,Y,Y,Y,N,N,N,N,N,N,N,Y,142.482091,-38.377917
VIC,KOO WEE RUP,CALTEX,STATION ST,3981,03 59972277,N,Y,N,Y,Y,Y,N,N,Y,Y,N,N,N,N,Y,N,N,N,N,145.488884,-38.198835
NSW,WARRAWONG,CALTEX,75-77 KING ST CNR HOSKINS ST,2502,02 42751615,Y,N,N,Y,N,N,N,Y,Y,Y,Y,N,N,Y,Y,N,Y,N,Y,150.888575,-34.490341
NSW,UNGARIE,INDEPENDENT,76 WOLLONGOUGH STREET,2669,02 69759076,N,Y,N,N,N,Y,N,N,Y,Y,N,N,N,N,Y,N,N,N,N,146.971998,-33.638442
NSW,MOONBI,CALTEX,NEW ENGLAND HIGHWAY,2353,02 67603138,Y,N,N,Y,N,Y,N,Y,Y,Y,N,N,Y,Y,Y,7,Y,N,Y,151.069104,-31.02275
QLD,PIMLICO,CALTEX,13 PALMERSTON STREET,4812,07 47252802,Y,Y,N,Y,N,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,146.789416,-19.281593
QLD,WINTON,CALTEX,1 CHIRNSIDE STREET,4735,07 46571146,Y,Y,N,Y,N,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,Y,143.047143,-22.380741
QLD,LEICHHARDT,CALTEX,EDWARD ST CNR OLD TOOWOOMBA RD,4305,07 32816201,N,Y,N,Y,N,Y,N,Y,Y,Y,N,N,N,N,Y,N,N,N,N,152.743157,-27.627455
TAS,ELIZABETH TOWN,CALTEX,BASS HIGHWAY,7304,03 63681216,N,Y,N,N,N,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,Y,146.566046,-41.452526
NSW,BURREN JUNCTION,CALTEX,CNR WATERLOO & ALMA STS,2386,02 67961455,N,Y,Y,N,N,Y,N,N,N,Y,N,N,N,N,N,1,N,N,N,148.965964,-30.103515
NSW,CASIN,CALTEX,58-60 HAIR ST,2470,02 66621840,N,Y,N,N,N,Y,N,N,Y,Y,N,N,N,N,N,1,N,N,Y,153.037691,-28.870304
TAS,ROCKY CAPE,CALTEX,BASS HIGHWAY,7321,03 64434273,N,Y,N,N,N,Y,N,N,Y,Y,N,N,Y,Y,Y,N,N,N,Y,145.469912,-40.887694
QLD,CAIRNS,CALTEX,60-88 DRAPER ST,4870,07 40511455,N,Y,N,N,N,Y,N,Y,Y,Y,N,N,N,N,N,1,N,N,N,145.77519,-16.934197
QLD,CAIRNS,CALTEX,60-88 DRAPER ST,4870,07 40511455,N,Y,N,N,N,Y,N,N,Y,Y,Y,N,N,N,N,N,Y,N,N,145.775302,-16.934322
WA,EAST FREMANTLE,INDEPENDENT,10 RIVERSIDE ROAD,6158,08 93395666,N,Y,N,N,N,Y,N,N,N,Y,Y,N,N,N,N,N,N,N,N,115.759636,-32.041236
NSW,BENDALONG,INDEPENDENT,20 WARATAH STREET,2539,02 44561113,Y,N,Y,N,N,Y,N,N,Y,Y,N,N,N,N,Y,N,N,N,N,150.531942,-35.24668
NSW,CASULA,CALTEX,646 HUME HWY,2170,02 96028482,Y,Y,N,Y,N,N,N,Y,Y,Y,Y,N,Y,Y,Y,N,N,Y,Y,150.893725,-33.95608
VIC,MANSFIELD,CALTEX,2 CHENERY STREET,3722,03 5775 2525,N,Y,N,Y,Y,Y,N,Y,Y,Y,N,N,Y,Y,Y,N,N,N,Y,146.092865,-37.053251
NSW,TIBOOBURRA,INDEPENDENT,1 SILVER CITY HIGHWAY,2880,08 80913477,N,Y,N,N,N,Y,N,N,Y,Y,N,N,N,N,N,1,N,N,N,142.009962,-29.435673
QLD,DALBY,CALTEX,58 LOUDOUN ST,4405,07 46622688,N,Y,N,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,Y,151.236477,-27.183965
QLD,HERVEY BAY,CALTEX,CHAPEL RD VIA NIKENBAH,4655,07 41281148,Y,Y,N,N,N,Y,N,N,Y,Y,N,N,N,N,N,1,N,N,Y,152.805217,-25.31818
QLD,MAREEBA,CALTEX,122 MASON STREET,4880,07 40511455,N,Y,N,N,N,Y,N,N,N,Y,Y,N,N,N,N,1,N,N,Y,145.420439,-17.005309
WA,TOODYAY,CALTEX,28 STIRLING TERRACE,6566,08 95742478,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,N,Y,Y,N,N,N,Y,116.475527,-31.555637
TAS,HADSPEN,CALTEX,WINIFRED JANE CR & MAIN ST,7290,03 63936333,N,Y,N,N,N,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,Y,147.06939,-41.503741
ACT,KALEEN,CALTEX,275 MARIBYRNNG AVE,2617,02 62417515,Y,N,N,Y,Y,N,N,Y,Y,Y,Y,N,N,Y,Y,N,Y,N,Y,149.104068,-35.233499
QLD,CLONCURRY,BP,25 McILLWRAITH ST,4824,07 4742 1416,N,Y,Y,N,N,Y,N,N,N,Y,N,N,N,N,N,1,N,N,N,140.522282,-20.706747
SA,KANGARILLA,INDEPENDENT,MCLAREN FLAT ROAD,5157,08 83837025,N,Y,N,N,N,Y,N,N,Y,Y,N,N,N,N,N,N,Y,N,Y,138.657151,-35.148221
NSW,QUEANBEYAN,CALTEX,BUNGENDORE RD,2620,02 62993910,N,Y,N,Y,Y,N,N,Y,Y,Y,Y,N,N,Y,Y,N,Y,N,Y,149.243457,-35.349242
VIC,WANTIRNA SOUTH,CALTEX,1321 HIGH STREET,3152,03 98875233,N,Y,N,Y,Y,Y,N,N,Y,Y,Y,Y,N,Y,Y,N,N,N,Y,145.222247,-37.876578
NSW,MARSDEN PARK,CALTEX,CNR GARFIELD & RICHMOND RDS,2765,02 96273134,N,Y,N,Y,Y,Y,N,N,Y,Y,N,N,Y,Y,Y,N,Y,N,Y,150.832136,-33.697807
QLD,MERMAID BEACH,CALTEX,2610-2612 GOLD COAST HIGHWAY,4218,07 55316257,Y,Y,N,Y,Y,N,N,Y,Y,Y,Y,Y,N,Y,Y,N,Y,N,Y,153.431623,-28.036584
VIC,ST ALBANS,CALTEX,151-167 KINGS ROAD,3021,03 93646785,N,Y,N,Y,Y,Y,N,N,Y,Y,Y,N,N,Y,Y,N,N,N,Y,144.781751,-37.726739
QLD,APPLE TREE CREEK,CALTEX,BRUCE HWY,4660,07 41261605,N,Y,N,Y,Y,Y,N,N,Y,Y,Y,N,N,Y,Y,7,Y,N,N,152.233387,-25.213856
VIC,CHELSEA HEIGHTS,CALTEX,241 WELLS ROAD,3196,03 97761497,N,Y,N,Y,Y,N,N,Y,Y,Y,N,N,Y,Y,Y,N,Y,N,Y,145.139418,-38.043141
QLD,RUNAWAY BAY,CALTEX,205 BAYVIEW ST,4216,07 55290988,N,Y,N,Y,N,N,N,Y,Y,Y,N,N,N,N,Y,N,Y,N,Y,153.401679,-27.904252
NSW,CABRAMATTA,CALTEX,166 JOHN ST CNR GLADSTONE ST,2166,02 97270081,Y,Y,N,Y,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,Y,150.927941,-33.894148
NT,COOLALINGA,CALTEX,13 STUART HIGHWAY,835,08 89831456,N,Y,Y,N,N,Y,N,N,N,Y,N,N,N,Y,Y,1,N,N,N,131.039755,-12.522459
WA,WALPOLE,AMPOL,23-24 NCKOLDS STREET,6398,08 98401031,N,Y,N,N,Y,Y,N,N,N,Y,N,N,N,N,N,N,N,N,Y,116.730304,-34.976686
NSW,BOMADERRY,CALTEX,1 BELINDA ST CNR BOLONG RD,2541,02 42762812,Y,Y,N,Y,Y,Y,N,N,Y,Y,N,N,N,N,Y,N,Y,N,Y,150.605252,-34.858012
QLD,CONDON,CALTEX,881-885 RIVERWAY DR,4815,07 47735611,N,Y,N,Y,N,N,N,Y,Y,Y,Y,N,N,Y,N,N,N,N,Y,146.727296,-19.331666
QLD,RAILWAY ESTATE,CALTEX,11 RAILWAY AVE CNR SEVENTH AVE,4810,07 47712495,N,Y,N,Y,N,N,N,Y,Y,Y,Y,N,N,Y,N,N,N,N,Y,146.815562,-19.272305
SA,MOUNT GAMBIER,CALTEX,141-141A COMMERCIAL STREET WEST,5290,08 87258233,N,Y,N,Y,Y,Y,N,N,Y,Y,Y,N,N,Y,Y,N,N,N,N,140.774564,-37.826541
SA,LARGS BAY,CALTEX,354 MILITARY ROAD,5016,08 83415494,N,Y,N,Y,N,Y,N,N,Y,Y,N,Y,N,N,N,N,N,N,N,138.493145,-34.819875
SA,NARACOORTE,CALTEX,231 SMITH ST,5271,08 87620772,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,Y,140.757234,-36.952466
VIC,GISBORNE,AMPOL,7 HAMILTON STREET,3437,03 54282210,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,144.677513,-37.464809
QLD,DALBY,AMPOL,99-101 DRAYTON ST,4405,07 46621900,N,Y,Y,N,Y,Y,N,N,Y,Y,N,N,N,N,N,1,N,N,N,151.267898,-27.187986
QLD,MACKAY HARBOUR,INDEPENDENT,MULHERIN DVE,4740,07 49556855,N,Y,Y,Y,N,Y,N,N,N,Y,N,N,N,N,Y,N,N,N,N,149.224093,-21.111515
WA,BALDIVIS,CALTEX,SAFETY BAY RD CNR BALDIVIS RD,6171,08 95231540,N,Y,N,Y,Y,N,N,Y,Y,Y,Y,Y,N,Y,Y,N,Y,N,Y,115.820871,-32.330731
WA,SOUTHERN CROSS,CALTEX,GREAT EASTERN HIGHWAY,6426,08 90491168,N,Y,N,N,Y,Y,N,N,Y,Y,Y,N,N,N,N,6,N,N,Y,119.33187,-31.23222
WA,COLLIE,CALTEX,124 THROSSELL STREET,6225,08 97343119,N,Y,N,Y,Y,Y,N,N,Y,Y,N,N,Y,Y,Y,N,N,N,N,116.152848,-33.359774
SA,MAITLAND,INDEPENDENT,43 ROBERT STREET,5573,08 88322725,N,Y,Y,N,N,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,137.673386,-34.373276
TAS,LAUNCESTON,CALTEX,2-6 GODERICH STREET,7250,03 63314635,N,Y,N,N,N,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,Y,147.132022,-41.422554
TAS,GLENDHU,CALTEX,329-333 WELLINGTON ST,7249,03 63430212,N,Y,N,Y,N,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,Y,147.144591,-41.453903
TAS,SPREYTON,CALTEX,2 MERSEY MAIN ROAD,7310,03 64272214,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,Y,146.34394,-41.210915
TAS,LINDISFARNE,CALTEX,109 EAST DERWENT HWY,7015,03 62439368,N,Y,N,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,Y,147.36033,-42.851872
VIC,KYABRAM,CALTEX,33-37 MCCORMICK RD,3620,03 58522107,N,Y,N,Y,Y,Y,N,N,Y,Y,Y,N,N,N,N,N,Y,N,Y,145.035822,-36.307863
VIC,MOOROOPNA,CALTEX,40 MCLENNN ST CNR OBRIEN ST,3629,03 58251968,N,Y,N,Y,Y,Y,N,N,Y,Y,N,N,N,N,Y,N,N,N,N,145.362384,-36.393829
VIC,TONGALA,CALTEX,33 HENDERSON ROAD,3621,03 58590064,N,Y,N,Y,Y,Y,N,N,Y,Y,N,N,N,N,Y,N,N,N,N,144.948112,-36.249671
NSW,WALCHA,INDEPENDENT,108W FITZROY ST,2354,02 67772151,N,Y,Y,N,N,Y,N,N,Y,Y,N,N,N,N,N,1,N,N,N,151.587533,-30.984146
SA,COLLINSWOOD,CALTEX,101-105 NRTH EAST RD,5081,08 83441850,N,Y,N,Y,Y,N,N,Y,Y,Y,Y,N,Y,Y,Y,N,Y,N,Y,138.616669,-34.886706
WA,WATERLOO,AMPOL,SOUTH WEST HIGHWAY,6228,08 97958958,N,Y,Y,N,N,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,115.723269,-33.340169
NSW,GUMLY GUMLY,CALTEX,STURT HWY,2652,02 69227263,N,Y,N,Y,N,Y,N,N,Y,Y,Y,N,N,Y,Y,6,N,N,Y,147.442654,-35.135559
QLD,ROCKLEA,CALTEX,117 SHERWOOD RD,4106,07 38485243,N,Y,N,Y,Y,N,N,Y,Y,Y,N,N,N,Y,N,1,N,N,Y,153.005568,-27.53884
SA,CLARE,CALTEX,35 MAIN NRTH RD,5453,08 88422848,N,Y,N,Y,Y,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,138.618852,-33.84689
NSW,MASCOT,CALTEX,125 O'RIORDAN ST,2020,02 97007598,Y,N,N,Y,Y,N,N,Y,Y,Y,Y,N,Y,Y,N,N,N,N,Y,151.191353,-33.923015
VIC,KEALBA,CALTEX,CNR SUNSHINE AVE & MAIN RD EAST,3021,03 93107779,Y,Y,N,Y,Y,Y,N,N,Y,Y,Y,Y,N,Y,Y,N,N,N,Y,144.832042,-37.748571
NSW,JUNEE,AMPOL,COX STREET,2663,02 69244944,N,Y,N,N,N,Y,N,N,Y,Y,N,N,N,Y,Y,N,N,N,Y,147.58505,-34.867453
NSW,YASS,CALTEX,1715 YASS VALLEY WAY,2582,02 62264022,Y,N,N,Y,Y,Y,N,N,Y,Y,Y,N,Y,Y,N,7,N,N,Y,148.88211,-34.806763
NSW,WALCHA,CALTEX,50E FITZROY ST,2354,02 67772755,N,Y,N,Y,N,Y,N,Y,Y,Y,N,N,N,Y,N,N,N,N,Y,151.59606,-30.985847
NSW,GILGANDRA,CALTEX,6425 NEWELL HWY,2827,02 68472660,Y,N,N,Y,Y,Y,N,N,Y,Y,Y,N,N,Y,N,7,N,N,Y,148.653117,-31.725691
NSW,HOLBROOK,CALTEX,11312 HUME HWY,2644,02 60362788,N,Y,N,Y,Y,Y,N,N,Y,Y,Y,N,Y,N,Y,7,Y,N,Y,147.320576,-35.715002
SA,WINGFIELD,CALTEX,664-668 SOUTH RD,5013,08 83454916,N,Y,N,Y,Y,Y,N,N,Y,Y,Y,N,N,Y,N,7,Y,N,Y,138.564278,-34.847114
TAS,TERRYLANDS,CALTEX,THE BOULEVARDE,7320,03 64311742,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,Y,N,Y,145.896677,-41.062619
NSW,MANLY VALE,CALTEX,236-238 CONDAMINE ST,2093,02 99498200,Y,N,N,Y,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,Y,151.267105,-33.785199
