Name,LocationNo,Street,Town,State,Postcode,Phone,Unlead,PremiumUnlead,BPUltimate, E10, Diesel, Any_Autogas, Hours_24, Trailers, LPGBottle, Toilets, CarWash, CleanGo, SuperWash, Other, Pay, EFTPOS, GIFT_CARD, ATM, Restaurant, TruckStops, Express, BP_UltimateDiesel,Latitude,Longitude
AA Gladstone Park,3112,Cnr Gladstone Park & Circular Rds,Gladstone Park,VIC,3043,03 9338 2684,Y,Y,Y,N,Y,Y,N,N,Y,N,Y,N,N,N,N,Y,Y,Y,N,N,N,N,-37.68942058,144.8862298
AA Glen Iris,574,44 - 56 High St,Glen Iris,VIC,3146,03 9885 7136,Y,Y,Y,N,Y,Y,Y,N,Y,Y,N,N,N,N,N,Y,Y,Y,N,N,N,N,-37.8620786,145.0661379
AA Heidelberg West,588,184 Bell St,West Heidelberg,VIC,3081,03 9459 6801,Y,Y,Y,N,Y,Y,Y,N,Y,Y,N,N,N,N,N,Y,Y,Y,N,N,N,N,-37.75211436,145.0494166
AA Kew East,59,1399 - 1401 Burke Rd,Kew East,VIC,3102,03 9859 0799,Y,Y,Y,N,Y,Y,Y,N,Y,Y,Y,N,N,Y,N,Y,Y,Y,N,N,N,N,-37.79493849,145.0633597
AA Kingsbury,50,925 Plenty Rd,Kingsbury,VIC,3083,03 9478 1963,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y,N,N,N,N,-37.71979529,145.0367389
AA Mount Eliza,150,1386 Nepean Hwy,Mount Eliza,VIC,3930,03 9775 2188,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,N,N,Y,Y,Y,N,N,N,N,-38.20030305,145.0826668
AA Mulgrave,3222,682 - 688 Springvale Rd,Mulgrave,VIC,3170,03 9562 1437,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,Y,N,Y,Y,Y,N,N,N,N,-37.91802759,145.1588862
AA Norlane,557,298 - 304 Princes Hwy,Corio,VIC,3214,03 5275 2966,Y,Y,Y,N,Y,Y,Y,N,Y,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,-38.07597682,144.3688257
AA North Coburg,3806,989 Sydney Rd,Coburg,VIC,3058,03 9354 6962,Y,Y,Y,N,Y,Y,Y,Y,Y,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,-37.72546759,144.9632981
AA North Fitzroy,3452,269 St Georges Road,Fitzroy North,VIC,3068,03 9481 6185,Y,Y,Y,N,Y,Y,Y,N,Y,Y,N,N,N,N,N,Y,Y,Y,N,N,N,N,-37.78201272,144.984601
AA Oakleigh,5362,162 - 168 Warrigal Rd,Oakleigh,VIC,3166,03 9579 7360,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,N,N,N,N,-37.90814441,145.0856509
AA Officer Inbound,7010,94 Princes Hwy,Officer,VIC,3809,03 5943 2164,Y,Y,Y,N,Y,Y,Y,N,Y,Y,N,N,N,,N,Y,Y,Y,Y,Y,N,N,-38.05998862,145.4092028
AA Officer Outbound,7020,65 Princes Hwy,Officer,VIC,3809,03 5943 2099,Y,Y,Y,N,Y,Y,Y,N,Y,Y,N,N,N,,N,Y,Y,Y,Y,Y,N,N,-38.05998948,145.4092038
AA Pakenham,5439,Lot 2001 Princes Hwy,Pakenham,VIC,3066,03 59401099,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,Y,y,Y,N,N,N,N,-38.06206452,145.4538682
AA Prahran,3754,500 Malvern Rd,Prahran,VIC,3181,03 9529 3887,Y,Y,Y,N,Y,Y,Y,N,Y,Y,N,N,N,N,N,Y,Y,Y,N,N,N,N,-37.84850316,145.0028313
AA Preston,3662,408 Bell St,Preston,VIC,3072,03 9484 7045,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,N,N,Y,y,Y,N,N,N,N,-37.74433485,144.9981145
AA Reservoir,3722,35 - 37 Gisborne Cres,Reservoir,VIC,3073,03 9469 4103,Y,Y,Y,N,Y,Y,Y,N,Y,Y,Y,N,N,Y,N,Y,Y,N,N,N,N,N,-37.71838286,145.021799
AA Richmond - Church Street,274,581 Church St,Richmond,VIC,3121,03 9428 7573,Y,Y,Y,N,Y,Y,Y,N,Y,Y,N,N,N,N,N,Y,Y,Y,N,N,N,N,-37.8312236,144.9972073
AA Springvale South,141,Cnr Springvale & Clarke Rds,Springvale,VIC,3172,03 9546 8379,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,N,N,Y,Y,Y,N,N,N,N,-37.9785054,145.1468875
AA Sunbury,28,53 - 55 Horne St,Sunbury,VIC,3429,03 9744 1973,Y,Y,Y,N,Y,Y,Y,N,Y,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,-37.5806625,144.7252555
AA Sunshine,22,139 Mcintyre Rd,Sunshine,VIC,3020,03 9312 6410,Y,Y,Y,N,Y,Y,Y,Y,Y,N,Y,N,N,Y,N,Y,Y,Y,N,N,N,N,-37.76557666,144.8307072
AA Swan Street,3931,282 Swan St,Richmond,VIC,3121,03 9427 7089,Y,Y,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,N,N,Y,Y,Y,N,N,N,N,-37.82624966,145.0003025
AA Templestowe,5361,2 - 4 Union St,Lower Templestowe,VIC,3107,03 9850 8466,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,N,N,N,N,Y,Y,Y,N,N,N,N,-37.75701317,145.1136382
AA Thomastown - High Street,3240,123 High St,Thomastown,VIC,3074,03 9465 2324,Y,Y,Y,N,Y,Y,N,Y,Y,N,Y,Y,N,N,Y,Y,Y,N,N,N,N,N,-37.68283115,145.0134808
AA Thomastown - Keon Parade,3725,72 Keon Pde,Thomastown,VIC,3074,03 9460 7962,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y,N,N,N,N,-37.6955127,145.0223161
AA Wallan Inbound,5908,1052 Hume Freeway,Wallan,VIC,3756,03 5783 1421,Y,Y,Y,N,Y,Y,Y,N,Y,Y,N,N,N,,N,Y,Y,Y,Y,N,N,N,-37.4036368,145.0169339
AA Wallan Outbound,5909,1015 Hume Highway,Wallan,VIC,3756,03 5783 1093,Y,Y,Y,N,Y,Y,Y,N,Y,Y,N,N,N,,N,Y,N,Y,Y,N,N,N,-37.40972951,145.0068998
AA Wantirna South,3673,444 Stud Rd,Wantirna South,VIC,3152,03 9801 5515,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,N,N,N,Y,y,Y,N,N,N,N,-37.8764046,145.2324274
Adelaide River Inn,99,106 Stuart Hwy,Adelaide River,NT,846,08 8976 7047,Y,Y,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,Y,N,Y,Y,N,N,N,-13.23817827,131.1067263
AFD Darwin,5807,5 WISHART ROAD,WISHART,NT,828,08 8984 0827,Y,Y,Y,N,Y,Y,Y,N,Y,N,N,N,N,N,N,Y,N,N,N,Y,N,N,-12.45803259,130.9246465
Alice City BP,1668,Transit Plaza,Alice Springs,NT,870,08 8952 8831,Y,Y,Y,N,Y,Y,Y,N,Y,N,N,N,N,N,N,Y,N,Y,N,N,N,N,-23.69903,133.877758
Alice Springs Depot,317,51 Stokes Street,Alice Springs,NT,870,08 8952 1131,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,-23.69347939,133.8746715
Alice Springs Depot - Afd,8020,51 Stokes Street,Alice Springs,NT,870,08 8952 1131,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,-23.69347912,133.8746703
Apex Service Station,416,1 Silvermines Rd,St Arnaud,VIC,3478,03 5495 1466,Y,Y,Y,N,Y,N,N,N,N,Y,Y,N,N,Y,N,Y,N,N,N,N,N,N,-36.61205153,143.2543406
Ardrossan Roadhouse,3176,2 Main Coast Rd,Ardrossan,SA,5571,08 8837 3552,Y,Y,Y,N,Y,Y,N,Y,Y,Y,N,N,N,N,N,Y,N,N,N,N,N,N,-34.41523655,137.9125372
Arnolds BP Smithton,5467,70 Goldie Street,Smithton,TAS,7330,03 6452 2592,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,Y,N,N,N,Y,N,N,N,N,N,N,-40.84252833,145.1258559
Atkinson Dam Cabin Village,8049,Atkinson Dam Road,Atkinsons Dam,QLD,4311,07 5426 4211,Y,Y,N,N,Y,N,N,N,Y,Y,N,N,N,N,N,Y,N,N,Y,N,N,N,-27.41612222,152.4396972
Ausfuel Wishart Trade Counter.,7331,5 Wishart Rd,Berrimah,NT,828,08 8984 0827,N,Y,N,,Y,,N,,,,,,,,,,,,,,N,N,-12.4580323,130.9246475
AYR DCA,5781,108 Edwards Street,AYR,QLD,4807,07 5453 8888,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,-19.57080585,147.4032688
Babinda General Store,279,177 Howard Kennedy Dr,Babinda,QLD,4861,07 4067 2332,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,-17.33809094,145.9282586
Ballarat Truckstop,3128,1127 Latrobe St,Ballarat,VIC,3350,03 5336 2599,Y,Y,Y,N,Y,Y,Y,N,Y,Y,Y,N,N,N,N,Y,Y,Y,N,N,N,N,-37.57270798,143.8378725
Barker BP,9168,24 Adelaide Rd,Mount Barker,SA,5251,08 8398 2882,Y,Y,Y,N,N,Y,Y,N,Y,Y,N,N,N,N,N,Y,Y,Y,N,N,N,Y,-35.06685922,138.8567938
Barooga General Store,1236,37 Vermont Street,Barooga,VIC,3644,03 5873 4293,Y,Y,N,N,Y,N,N,N,Y,Y,N,N,N,N,N,Y,N,Y,N,N,N,N,-35.91209155,145.690572
Baskerville,6043,1084 Great Northern Highway,Baskerville,WA,6056,08 9123 4567,Y,Y,Y,N,Y,N,N,N,N,N,N,N,N,,N,Y,N,N,N,N,N,N,-31.79822952,116.0208264
Baskerville Depot & Dca,6651,1100 Great Northern Highway,Baskerville,WA,6056,08 9296 3396,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,-31.79627326,116.0221727
Batchelor Service Centre,2395,338 Rumjungle Rd,Batchelor,NT,845,08 8976 0196,Y,N,N,N,Y,Y,N,Y,Y,Y,N,N,N,N,N,Y,N,Y,N,N,N,N,-13.02593853,131.0148023
Bellbay Dca,4156,Lot 10 - 12 Bellbay Rd,Bell Bay,TAS,7253,0419 384 136,Y,Y,Y,N,Y,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,-41.11541458,146.863558
BERRY SPRINGS CENTRE,4435,795 COX PENINSULA ROAD,BERRY SPRINGS,NT,838,08 8988-6091,Y,Y,N,N,Y,N,N,N,N,Y,N,N,N,N,N,Y,N,N,Y,N,N,N,-12.69346616,131.0235815
Bf & Dj Quade,267,77 Forbes St,Trundle,NSW,2875,02 6892 1054,Y,Y,N,N,Y,N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,-32.92164722,147.7099932
BIGGENDEN FOOD & FUEL,5977,1 John Street,BIGGENDEN,QLD,4621,07 4127 1175,Y,,,,Y,,,,,,,,,,,,,,,,,,-25.50918528,152.0477551
Billabong Service Centre,1692,Captian Cook Hwy,Clifton Beach,QLD,4879,07 4055 3066,Y,Y,Y,N,Y,N,N,Y,N,Y,N,N,N,N,N,Y,N,Y,N,N,N,N,-16.76928308,145.6703743
Billabong Takeaway,2560,5 Forbes Street,Yeoval,NSW,2868,07 4743 2660,Y,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,Y,N,N,Y,N,N,N,-32.75171084,148.6487431
Bingara Corner Store,1802,56 Finch St,Bingara,NSW,2404,02 6724 1321,Y,Y,Y,N,Y,N,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,-29.86765146,150.569151
Birdsville Fuel Service,694,Adelaide St,Birdsville,QLD,4482,07 4656 3236,Y,Y,N,N,Y,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,-25.90031301,139.3494593
Black Stump Service Station,5561,119 Binnia Street,Coolah,NSW,2843,02 6377 1215,Y,N,N,N,Y,N,N,N,Y,Y,N,N,N,N,N,Y,N,N,Y,N,N,N,-31.82735482,149.715553
Blackbird Energy Texas,5364,37 Greenup Street,TEXAS,QLD,4385,07 4653 0156,,,,,,,,,,,,,,,,,,,,,,,-28.85251779,151.1641674
Blanchetown Roadhouse,9128,Sturt Hwy,Blanchetown,SA,5357,08 8540 5060,Y,N,Y,N,Y,Y,Y,N,Y,Y,N,N,N,N,N,Y,N,Y,Y,N,N,N,-34.35029927,139.5458637
Blayney & United Sales & Service,8388,27 Orange Rd,Blayney,NSW,2799,02 6368 2233,Y,Y,N,N,Y,N,N,N,Y,Y,N,N,N,N,N,Y,N,N,N,N,N,N,-33.52710468,149.2446806
Boddington Service Station,5837,38 Bannister Road,Boddington,WA,6390,08 9883 8011,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,-32.80232754,116.474226
BP  Wishart,4294,528 Newnham Rd,Wishart,QLD,4122,07 3343 3773,Y,Y,Y,N,N,Y,Y,Y,Y,Y,N,N,N,N,N,Y,N,Y,N,N,N,Y,-27.56138426,153.0895981
BP 2 Go North Ballarat,5441,702 Creswick Road,Ballarat,VIC,3350,03 5331 9157,Y,Y,Y,N,Y,Y,N,N,Y,Y,N,N,N,N,N,Y,Y,Y,Y,N,N,N,-37.55118487,143.8509408
BP 2Go Albion Park,2487,83 Princes Hwy,Albion Park,NSW,2527,02 4257 8000,N,Y,Y,Y,Y,Y,Y,N,Y,Y,N,N,N,N,N,Y,Y,Y,N,N,Y,N,-34.5549086,150.7905231
BP 2Go Asquith,2221,Cnr Pacific Hwy & Jersey St,Asquith,NSW,2077,02 9477 1762,N,Y,Y,Y,Y,Y,Y,N,Y,Y,N,N,N,N,N,Y,Y,Y,N,N,N,N,-33.68922939,151.1068204
BP 2Go Bankstown Airport,3510,335 Henry Lawson Drive,Bankstown,NSW,2200,02 9793 1089,N,Y,Y,Y,Y,Y,N,Y,N,Y,Y,N,Y,N,N,Y,Y,Y,N,N,N,N,-33.92004915,150.9752804
BP 2GO Brighton,138,601 Hampton St,Brighton,VIC,3186,03 9592 6582,Y,N,Y,N,N,N,Y,N,Y,Y,N,N,N,N,N,Y,Y,Y,N,N,Y,N,-37.92909069,145.0039504
BP 2Go Canterbury,9499,322 Canterbury Road,CANTERBURY,NSW,2193,02 9718 2818,N,Y,Y,Y,Y,Y,N,N,Y,Y,Y,N,Y,N,N,Y,Y,Y,N,N,N,N,-33.91496446,151.1130393
BP 2GO Carindale,1414,Corner Of Creek Road And Cuthred Street,Carindale,QLD,4152,07 3398 5155,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,N,Y,N,N,Y,Y,Y,N,N,N,Y,-27.49502465,153.1014617
BP 2GO Cranbourne,3535,Cnr High & Clarendon Sts,Cranbourne,VIC,3977,03 5996 6159,Y,N,Y,N,Y,Y,Y,Y,Y,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,-38.10544936,145.28184
BP 2GO Diamond Creek,3988,274 Diamond Creek Rd,Diamond Creek,VIC,3089,03 9435 1294,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,N,N,Y,Y,N,N,N,N,N,-37.68044296,145.1227492
BP 2GO Melton,3600,Cnr High & Station Sts,Melton,VIC,3337,03 9743 9517,Y,Y,Y,N,Y,Y,Y,Y,Y,N,N,N,N,N,N,Y,Y,Y,N,N,Y,N,-37.68363563,144.578013
BP 2GO Riverwood,2260,189 Belmore Rd,Riverwood,NSW,2210,02 9534 3965,N,Y,Y,Y,N,Y,N,Y,Y,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,-33.95570343,151.0515202
BP 2GO Tally Ho,548,Cnr Blackburn & Highbury Rds,Tally Ho,VIC,3149,03 9803 4843,Y,Y,Y,N,Y,Y,Y,Y,Y,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,-37.87728327,145.1265486
BP 2GO Virginia,1462,1830 Sandgate Road,Virginia,QLD,4014,07 3265 3088,Y,Y,Y,N,N,Y,Y,Y,Y,Y,N,N,N,N,N,Y,Y,Y,N,N,N,Y,-27.37404044,153.0620285
BP 2GO Watsonia,51,Cnr Watsonia Rd & Grace St,Watsonia,VIC,3087,03 9435 6365,Y,N,Y,N,Y,Y,Y,Y,Y,N,N,N,N,N,N,Y,Y,Y,N,N,Y,N,-37.71013798,145.0803844
BP 2GO Western Highway,345,9401 Western Hwy,Warrenheip,VIC,3352,03 5334 7821,Y,Y,Y,N,Y,Y,Y,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,-37.56416149,143.9332863
BP Acacia Ridge,3247,1434 Beaudesert Rd,Acacia Ridge,QLD,4110,07 3255 5199,Y,N,Y,N,Y,N,N,Y,N,Y,N,N,N,N,N,Y,N,Y,N,N,N,N,-27.58834116,153.0275726
BP Ackland Gardens,9135,62 Daws Rd,Edwardstown,SA,5039,08 8276 7639,Y,Y,Y,N,Y,Y,N,N,N,Y,N,N,N,N,N,Y,Y,Y,N,N,N,N,-34.99287958,138.5697699
BP Airds,5792,Lot 748, 56 - 60 Riverside Drive,Airds,NSW,2560,02 4628 7933,N,N,Y,Y,Y,N,N,N,Y,Y,N,N,N,N,N,Y,Y,Y,N,N,N,-34.08594534,150.8286718
BP AIRPORT BUNDABERG,6959,127 Takalvan Street,BUNDABERG,QLD,4670,07 4155 1464,Y,N,Y,N,Y,Y,N,N,Y,Y,N,N,N,,N,Y,Y,Y,Y,N,N,N,-24.89127565,152.3169338
BP Albion,1401,Albion St,Warwick,QLD,4370,07 4661 7533,Y,N,Y,N,Y,N,Y,N,Y,Y,N,N,N,N,N,Y,Y,Y,N,N,N,N,-28.21440502,152.0353842
BP Aldgate,3807,345 Mt Barker Road,Aldgate,SA,5154,08 8339 2023,Y,Y,Y,N,Y,Y,N,Y,Y,Y,N,N,N,N,N,Y,Y,Y,N,N,N,N,-35.00994322,138.7481566
BP Allambie Heights,754,Corner Of Allambie Road And Flers Street,Allambie Heights,NSW,2100,02 9451 5405,Y,Y,Y,N,Y,N,N,Y,Y,Y,N,N,N,N,N,Y,Y,N,N,N,N,N,-33.76518998,151.2492088
BP Allway Motors,1862,35 Albany Hwy,Albany,WA,6330,08 9841 5411,Y,Y,Y,N,Y,Y,N,N,Y,Y,N,N,N,N,N,Y,N,N,N,N,N,N,-35.02105886,117.8814919
BP Amberley,7336,2487 Cunningham Highway,Purga,QLD,4306,07 5467 3211,Y,Y,Y,,Y,Y,N,Y,Y,Y,N,,,,,Y,N,Y,Y,,N,N,-27.65828942,152.7089753
BP Anna Bay,5824,135 GAN GAN ROAD,ANNA BAY,NSW,2316,02 4982 2206,Y,Y,Y,N,Y,Y,N,Y,Y,Y,N,N,N,N,N,Y,Y,N,N,N,N,N,-32.77780739,152.0844349
BP Applecross,6200,848 Canning Hwy,Applecross,WA,6153,08 9364 2471,Y,Y,Y,N,N,Y,Y,Y,Y,Y,N,N,N,N,N,Y,Y,N,N,N,N,Y,-32.01467408,115.8440293
BP Aramac,8062,Barcaldine Rd,Aramac,QLD,4726,07 4651 3256,Y,Y,N,N,Y,N,N,N,N,Y,N,N,N,N,N,Y,N,N,Y,N,N,N,-22.99909948,145.2350972
BP Ararat,7346,44 Lambert Street,Ararat,VIC,3377,03 5352 5566,Y,,Y,,Y,,,,,,,,,,,,,,,,,,-37.27816431,142.9254314
BP Aratula,9968,6712 Cunningham Hwy,Aratula,QLD,4309,07 5463 8233,Y,N,Y,N,Y,Y,Y,N,Y,Y,N,N,N,N,N,Y,Y,Y,Y,N,N,N,-27.97954841,152.550241
BP Archerfield,685,Cnr Randolph St and Boundary Road,Archerfield,QLD,4108,07 3255 5522,Y,Y,Y,N,Y,Y,Y,N,N,Y,N,N,N,N,N,Y,N,Y,Y,Y,N,N,-27.56500883,152.9986852
BP Armadale,1803,3249 Albany Hwy,Armadale,WA,6112,08 9399 2204,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,N,N,Y,Y,N,Y,N,N,N,-32.14824577,116.0203985
BP Armidale RDD,7191,84 Marsh Street,ARMIDALE,NSW,2350,02 6771 3900,Y,,Y,Y,Y,Y,N,N,Y,Y,N,N,N,,,Y,Y,Y,N,,N,N,-30.51216892,151.669399
BP Ascot,1778,Corner Of Kitchener Road And Oriel Road,Ascot,QLD,4007,07 3262 2433,Y,N,Y,N,N,N,N,Y,Y,Y,N,N,N,N,N,Y,N,N,N,N,N,Y,-27.42811357,153.0625372
BP Ashford Road & Dca,8392,313 Byron St,INVERELL,NSW,2360,02 6722 1530,Y,N,Y,N,Y,N,Y,N,Y,Y,N,N,N,N,Y,Y,N,N,N,N,N,N,-29.76779054,151.1203041
BP Ashmore,7047,Corner Of Central Park Avenue And Southport Nerang Road,Ashmore,QLD,4214,07 5597 3822,N,Y,Y,Y,N,Y,Y,Y,Y,Y,N,N,N,N,N,Y,Y,Y,N,N,N,Y,-27.98673879,153.3610579
BP Ashmore Village,7245,Cotlews & Currumburra Rd,ASHMORE,QLD,4151,07 5539 1386,Y,Y,Y,N,N,Y,N,N,Y,Y,N,N,N,,N,Y,Y,Y,N,N,N,Y,-27.50057732,153.0589149
BP Athol Park OPT,6730,17-19 Athol Street,Athol Park,SA,5012,,,,,,,,,,,,,,,,,,,,,,,,-34.85181415,138.5408397
BP Attadale,6188,Cnr Canning Hwy & Hislop Rd,Attadale,WA,6156,08 9330 2353,Y,Y,Y,N,N,Y,N,Y,Y,N,N,N,N,N,N,Y,Y,Y,N,N,N,Y,-32.03198306,115.8092778
BP Auburn,759,Cnr Parramatta Rd & Stubbs St,Auburn,NSW,2144,02 9647 1167,N,Y,Y,Y,Y,Y,Y,N,Y,Y,N,N,N,N,N,Y,Y,Y,N,N,N,N,-33.84117362,151.035579
BP Auburn Main North,6970,11 Main North Road,Auburn,SA,5451,08 8849 2130,Y,Y,N,N,Y,Y,N,N,Y,Y,N,N,N,,N,Y,Y,N,N,N,N,N,-34.02781199,138.6856404
BP Australind,1864,80 Old Coast Rd,Australind,WA,6230,08 9797 1505,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,N,N,Y,Y,N,Y,N,N,N,-33.27913761,115.7143643
BP Avalon,761,662 - 664 Barrenjoey Rd,North Avalon,NSW,2107,02 9918 2962,N,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,N,N,N,Y,Y,N,N,N,N,N,-33.62593368,151.3344936
