id,inst_name,cmps_id,cmps_name,state_id,l_addr_1,l_addr_2,l_pcode,state,cmps_lvl,systemic,affiliation,long,lat,mceetya_code,region_name,prim,sec,ung,fte,aria_code,arianame
5992,Duffy Primary School,5992,Duffy Primary School,DFYP,Burrinjuck Crescent,Duffy,2611,ACT,Primary,,,149.033656,-35.334219,1.2,Metropolitan Zone Major urban Statistical Districts,171,,,171,0,Major Cities of Australia
6647,Caroline Chisholm School,6647,Caroline Chisholm School,CHIH,Hambridge Crescent,Chisholm,2905,ACT,Secondary,,,149.122047,-35.418155,1.2,Metropolitan Zone Major urban Statistical Districts,225,452,,677,0,Major Cities of Australia
6648,Erindale College,6648,Erindale College,ERNC,McBryde Crescent,Wanniassa,2903,ACT,Secondary,,,149.095654,-35.403473,1.2,Metropolitan Zone Major urban Statistical Districts,,730,,730,0,Major Cities of Australia
6652,Melba Copland Secondary School,6652,Melba Copland Secondary School,COPC,Copland Drive,Melba,2615,ACT,Secondary,,,149.059794,-35.21254,1.2,Metropolitan Zone Major urban Statistical Districts,,1041,,1041,0,Major Cities of Australia
6653,Dickson College,6653,Dickson College,DCKC,Phillip Avenue,Dickson,2602,ACT,Secondary,,,149.154143,-35.248452,1.2,Metropolitan Zone Major urban Statistical Districts,,745,,745,0,Major Cities of Australia
6657,Lyneham High School,6657,Lyneham High School,LYNH,Goodwin Street,Lyneham,2602,ACT,Secondary,,,149.130653,-35.252379,1.2,Metropolitan Zone Major urban Statistical Districts,,990,,990,0,Major Cities of Australia
10079,Jervis Bay Primary School,10079,Jervis Bay Primary School,JVBP,Dykes Avenue,Jervis Bay,2540,ACT,Primary,,,150.703614,-35.135012,2.2.1,Provincial Zone Inner provincial areas,44,,,44,1,Inner Regional Australia
10303,Alfred Deakin High School,10303,Alfred Deakin High School,DEAH,Denison Street,Deakin,2600,ACT,Secondary,,,149.094282,-35.323849,1.2,Metropolitan Zone Major urban Statistical Districts,,786,,786,0,Major Cities of Australia
10310,Yarralumla Primary School,10310,Yarralumla Primary School,YARP,Loftus Street,Yarralumla,2600,ACT,Primary,,,149.103234,-35.306948,1.2,Metropolitan Zone Major urban Statistical Districts,160,,,160,0,Major Cities of Australia
10311,Campbell High School,10311,Campbell High School,CBLH,Treloar Crescent,Campbell,2601,ACT,Secondary,,,149.147123,-35.278101,1.2,Metropolitan Zone Major urban Statistical Districts,,607,,607,0,Major Cities of Australia
10313,Campbell Primary School,10313,Campbell Primary School,CBLP,Chauvel Street,Campbell,2601,ACT,Primary,,,149.156099,-35.290271,1.2,Metropolitan Zone Major urban Statistical Districts,252,,,252,0,Major Cities of Australia
10315,The Co-Operative School,10315,The Co-Operative School,COPP,Macpherson Street,O'Connor,2602,ACT,Primary,,,149.122499,-35.264552,1.2,Metropolitan Zone Major urban Statistical Districts,58,,,58,0,Major Cities of Australia
10320,Turner School,10320,Turner School,TNRP,Condamine Street,Turner,2601,ACT,Primary,,,149.126081,-35.264995,1.2,Metropolitan Zone Major urban Statistical Districts,430,,,430,0,Major Cities of Australia
10321,North Ainslie Primary School,10321,North Ainslie Primary School,NAIP,Majura Avenue,Ainslie,2602,ACT,Primary,,,149.146358,-35.255113,1.2,Metropolitan Zone Major urban Statistical Districts,315,,,315,0,Major Cities of Australia
10331,Lyneham Primary School,10331,Lyneham Primary School,LYNP,Hall Street,Lyneham,2602,ACT,Primary,,,149.124974,-35.25148,1.2,Metropolitan Zone Major urban Statistical Districts,420,,,420,0,Major Cities of Australia
10334,Forrest Primary  School,10334,Forrest Primary  School,FORP,National Circuit,Forrest,2603,ACT,Primary,,,149.126171,-35.315084,1.2,Metropolitan Zone Major urban Statistical Districts,431,,,431,0,Major Cities of Australia
10338,Red Hill Primary School,10338,Red Hill Primary School,RDHP,Astrolabe Street,Red Hill,2603,ACT,Primary,,,149.132893,-35.339741,1.2,Metropolitan Zone Major urban Statistical Districts,505,,,505,0,Major Cities of Australia
10342,Narrabundah Primary School,10342,Narrabundah Primary School,NARP,Kootara Crescent,Narrabundah,2604,ACT,Primary,,,149.150698,-35.329016,1.2,Metropolitan Zone Major urban Statistical Districts,61,,,61,0,Major Cities of Australia
10347,Garran Primary School,10347,Garran Primary School,GRNP,Gilmore Crescent,Garran,2605,ACT,Primary,,,149.103287,-35.344681,1.2,Metropolitan Zone Major urban Statistical Districts,415,,,415,0,Major Cities of Australia
10349,Hughes Primary School,10349,Hughes Primary School,HGHP,Kent Street,Hughes,2605,ACT,Primary,,,149.093456,-35.332248,1.2,Metropolitan Zone Major urban Statistical Districts,274,,,274,0,Major Cities of Australia
10353,Lyons Primary School,10353,Lyons Primary School,LYOP,Tarraleah Crescent,Lyons,2606,ACT,Primary,,,149.076243,-35.341633,1.2,Metropolitan Zone Major urban Statistical Districts,48,,,48,0,Major Cities of Australia
10354,The Canberra College,10354,The Canberra College,CBRC,Launceston Street,Phillip,2606,ACT,Secondary,,,149.088321,-35.34036,1.2,Metropolitan Zone Major urban Statistical Districts,,859,,859,0,Major Cities of Australia
10359,Mawson Primary School,10359,Mawson Primary School,MAWP,Ainsworth Street,Mawson,2607,ACT,Primary,,,149.097655,-35.358505,1.2,Metropolitan Zone Major urban Statistical Districts,162,,,162,0,Major Cities of Australia
10360,Melrose High School,10360,Melrose High School,MLRH,Marr Street,Pearce,2607,ACT,Secondary,,,149.089434,-35.363475,1.2,Metropolitan Zone Major urban Statistical Districts,,825,,825,0,Major Cities of Australia
10364,Torrens Primary School,10364,Torrens Primary School,TORP,Ritchie Street,Torrens,2607,ACT,Primary,,,149.090949,-35.370046,1.2,Metropolitan Zone Major urban Statistical Districts,411,,,411,0,Major Cities of Australia
10365,Chapman Primary School,10365,Chapman Primary School,CHPP,Perry Drive,Chapman,2611,ACT,Primary,,,149.043079,-35.356878,1.2,Metropolitan Zone Major urban Statistical Districts,441,,,441,0,Major Cities of Australia
10376,Aranda Primary School,10376,Aranda Primary School,ARAP,Banambila Crescent,Aranda,2614,ACT,Primary,,,149.079914,-35.255999,1.2,Metropolitan Zone Major urban Statistical Districts,369,,,369,0,Major Cities of Australia
10377,Belconnen High School,10377,Belconnen High School,BLCH,Murranji Street,Hawker,2614,ACT,Secondary,,,149.039298,-35.246957,1.2,Metropolitan Zone Major urban Statistical Districts,,710,,710,0,Major Cities of Australia
10378,Canberra High School,10378,Canberra High School,CBRH,Bindubi Street,Macquarie,2614,ACT,Secondary,,,149.074517,-35.251302,1.2,Metropolitan Zone Major urban Statistical Districts,,672,,672,0,Major Cities of Australia
10380,Hawker College,10380,Hawker College,HWKC,Murranji Street,Hawker,2614,ACT,Secondary,,,149.031897,-35.244317,1.2,Metropolitan Zone Major urban Statistical Districts,,735,,735,0,Major Cities of Australia
10381,Hawker Primary School,10381,Hawker Primary School,HWKP,Erldunda Circuit,Hawker,2614,ACT,Primary,,,149.034593,-35.250284,1.2,Metropolitan Zone Major urban Statistical Districts,257,,,257,0,Major Cities of Australia
10382,Macquarie Primary School,10382,Macquarie Primary School,MAQP,Bennelong Crescent,Macquarie,2614,ACT,Primary,,,149.059393,-35.250069,1.2,Metropolitan Zone Major urban Statistical Districts,248,,,248,0,Major Cities of Australia
10385,Weetangera Primary School,10385,Weetangera Primary School,WTGP,Southwell Street,Weetangera,2614,ACT,Primary,,,149.047137,-35.251826,1.2,Metropolitan Zone Major urban Statistical Districts,314,,,314,0,Major Cities of Australia
10387,Charnwood-Dunlop School,10387,Charnwood-Dunlop School,CHWP,Bettington Circuit,Charnwood,2615,ACT,Primary,,,149.036203,-35.198682,1.2,Metropolitan Zone Major urban Statistical Districts,231,,,231,0,Major Cities of Australia
10389,Fraser Primary School,10389,Fraser Primary School,FRSP,Tillyard Drive,Fraser,2615,ACT,Primary,,,149.043375,-35.191795,1.2,Metropolitan Zone Major urban Statistical Districts,385,,,385,0,Major Cities of Australia
10390,Higgins Primary School,10390,Higgins Primary School,HGGP,Fullagar Crescent,Higgins,2615,ACT,Primary,,,149.024452,-35.232764,1.2,Metropolitan Zone Major urban Statistical Districts,186,,,186,0,Major Cities of Australia
10391,Holt Primary School,10391,Holt Primary School,HLTP,Beaurepaire Crescent,Holt,2615,ACT,Primary,,,149.012022,-35.222654,1.2,Metropolitan Zone Major urban Statistical Districts,180,,,180,0,Major Cities of Australia
10392,Latham Primary School,10392,Latham Primary School,LTHP,O'Loghlen Street,Latham,2615,ACT,Primary,,,149.034298,-35.220157,1.2,Metropolitan Zone Major urban Statistical Districts,214,,,214,0,Major Cities of Australia
10393,Macgregor Primary School,10393,Macgregor Primary School,MCGP,Hirschfeld Crescent,Macgregor,2615,ACT,Primary,,,149.012349,-35.213112,1.2,Metropolitan Zone Major urban Statistical Districts,312,,,312,0,Major Cities of Australia
10394,Mount Rogers Primary School,10394,Mount Rogers Primary School,MTRP,Alfred Hill Drive,Melba,2615,ACT,Primary,,,149.055621,-35.208737,1.2,Metropolitan Zone Major urban Statistical Districts,170,,,170,0,Major Cities of Australia
10397,Evatt Primary School,10397,Evatt Primary School,EVTP,Heydon Crescent,Evatt,2617,ACT,Primary,,,149.075906,-35.20707,1.2,Metropolitan Zone Major urban Statistical Districts,302,,,302,0,Major Cities of Australia
10398,Giralang Primary School,10398,Giralang Primary School,GIRP,Canopus Crescent,Giralang,2617,ACT,Primary,,,149.094449,-35.213717,1.2,Metropolitan Zone Major urban Statistical Districts,107,,,107,0,Major Cities of Australia
10399,Kaleen High School,10399,Kaleen High School,KLNH,Baldwin Drive,Kaleen,2617,ACT,Secondary,,,149.1012,-35.225083,1.2,Metropolitan Zone Major urban Statistical Districts,,255,,255,0,Major Cities of Australia
10400,Kaleen Primary School,10400,Kaleen Primary School,KLNP,Ashburton Circuit,Kaleen,2617,ACT,Primary,,,149.11404,-35.224835,1.2,Metropolitan Zone Major urban Statistical Districts,449,,,449,0,Major Cities of Australia
10401,Maribyrnong Primary School,10401,Maribyrnong Primary School,MBYP,Alberga Street,Kaleen,2617,ACT,Primary,,,149.102261,-35.235115,1.2,Metropolitan Zone Major urban Statistical Districts,216,,,216,0,Major Cities of Australia
10402,Miles Franklin Primary School,10402,Miles Franklin Primary School,MFRP,Alderman Street,Evatt,2617,ACT,Primary,,,149.066961,-35.213295,1.2,Metropolitan Zone Major urban Statistical Districts,354,,,354,0,Major Cities of Australia
11119,Taylor Primary School,11119,Taylor Primary School,TLRP,Marconi Crescent,Kambah,2902,ACT,Primary,,,149.064261,-35.378318,1.2,Metropolitan Zone Major urban Statistical Districts,209,,,209,0,Major Cities of Australia
11120,Urambi Primary School,11120,Urambi Primary School,UMBP,Snodgrass Crescent,Kambah,2902,ACT,Primary,,,149.063336,-35.394483,1.2,Metropolitan Zone Major urban Statistical Districts,254,,,254,0,Major Cities of Australia
11122,Wanniassa School,11122,Wanniassa School,WANS,Sternberg Crescent,Wanniassa,2903,ACT,Combined,,,149.086363,-35.394992,1.2,Metropolitan Zone Major urban Statistical Districts,223,368,,591,0,Major Cities of Australia
11123,Wanniassa Hills Primary School,11123,Wanniassa Hills Primary School,WNHP,Langdon Avenue,Wanniassa,2903,ACT,Primary,,,149.095898,-35.393069,1.2,Metropolitan Zone Major urban Statistical Districts,346,,,346,0,Major Cities of Australia
11124,Fadden Primary School,11124,Fadden Primary School,FDNP,Hanlon Crescent,Fadden,2904,ACT,Primary,,,149.118175,-35.404286,1.2,Metropolitan Zone Major urban Statistical Districts,280,,,280,0,Major Cities of Australia
11125,Gowrie Primary School,11125,Gowrie Primary School,GOWP,Jeffries Street,Gowrie,2904,ACT,Primary,,,149.110565,-35.413608,1.2,Metropolitan Zone Major urban Statistical Districts,184,,,184,0,Major Cities of Australia
11126,Monash Primary School,11126,Monash Primary School,MONP,Corlette Street,Monash,2904,ACT,Primary,,,149.089411,-35.414879,1.2,Metropolitan Zone Major urban Statistical Districts,410,,,410,0,Major Cities of Australia
11127,Richardson Primary  School,11127,Richardson Primary  School,RICP,May Gibbs Close,Richardson,2905,ACT,Primary,,,149.113943,-35.428859,1.2,Metropolitan Zone Major urban Statistical Districts,192,,,192,0,Major Cities of Australia
13363,Canberra Montessori School,13363,Canberra Montessori School,,35 Mulley Street,HOLDER,2611,ACT,Primary,Non-Systemic,Montessori School,149.051068,-35.332247,1.2,Metropolitan Zone Major urban Statistical Districts,125,,,125,0,Major Cities of Australia
13364,Covenant College,13364,Covenant College,,Woodcock Drv,GORDON,2906,ACT,Combined,Non-Systemic,Christian Schools,149.090709,-35.439222,1.2,Metropolitan Zone Major urban Statistical Districts,80,68,,148,0,Major Cities of Australia
13976,St Clare of Assisi Primary School,13976,St Clare of Assisi Primary School,,Cnr Boxhill Avenue and Heidelberg Street,CONDER,2906,ACT,Primary,Systemic,"Catholic, Roman",149.096766,-35.45791,1.2,Metropolitan Zone Major urban Statistical Districts,693.1,,,693.1,0,Major Cities of Australia
14231,Lake Ginninderra College,14231,Lake Ginninderra College,LGNC,Emu Bank,Belconnen,2616,ACT,Secondary,,,149.074161,-35.239149,1.2,Metropolitan Zone Major urban Statistical Districts,,498,,498,0,Major Cities of Australia
14381,Lake Tuggeranong College,14381,Lake Tuggeranong College,TUGC,Cowlishaw Street,Tuggeranong,2900,ACT,Secondary,,,149.068195,-35.413803,1.2,Metropolitan Zone Major urban Statistical Districts,,785,,785,0,Major Cities of Australia
14382,Calwell Primary School,14382,Calwell Primary School,CLWP,Downard Street,Calwell,2905,ACT,Primary,,,149.109254,-35.438412,1.2,Metropolitan Zone Major urban Statistical Districts,394,,,394,0,Major Cities of Australia
14383,Calwell High School,14383,Calwell High School,CLWH,Casey Crescent,Calwell,2905,ACT,Secondary,,,149.117635,-35.441052,1.2,Metropolitan Zone Major urban Statistical Districts,,505,,505,0,Major Cities of Australia
14384,Majura Primary School,14384,Majura Primary School,MAJP,Knox Street,Watson,2602,ACT,Primary,,,149.15501,-35.238509,1.2,Metropolitan Zone Major urban Statistical Districts,361,,,361,0,Major Cities of Australia
14386,Arawang Primary School,14386,Arawang Primary School,ARWP,Nemarang Crescent,Waramanga,2611,ACT,Primary,,,149.059719,-35.355017,1.2,Metropolitan Zone Major urban Statistical Districts,374,,,374,0,Major Cities of Australia
14387,Florey Primary  School,14387,Florey Primary  School,FLRP,Ratcliffe Crescent,Florey,2615,ACT,Primary,,,149.052092,-35.226519,1.2,Metropolitan Zone Major urban Statistical Districts,378,,,378,0,Major Cities of Australia
14389,Gilmore Primary School,14389,Gilmore Primary School,GILP,Heagney Crescent,Gilmore,2905,ACT,Primary,,,149.135582,-35.419488,1.2,Metropolitan Zone Major urban Statistical Districts,213,,,213,0,Major Cities of Australia
14390,Isabella Plains Primary School,14390,Isabella Plains Primary School,ISPP,Ellerston Avenue,Isabella Plains,2905,ACT,Primary,,,149.089497,-35.428716,1.2,Metropolitan Zone Major urban Statistical Districts,93,,,93,0,Major Cities of Australia
14629,Holy Spirit Primary School,14629,Holy Spirit Primary School,,Kelleway Avenue,NICHOLLS,2913,ACT,Primary,Systemic,"Catholic, Roman",149.101809,-35.180246,1.2,Metropolitan Zone Major urban Statistical Districts,580,,,580,0,Major Cities of Australia
14727,Palmerston Primary School,14727,Palmerston Primary School,PLMP,Kosciusko Avenue,Palmerston,2913,ACT,Primary,,,149.120303,-35.1975,1.2,Metropolitan Zone Major urban Statistical Districts,400,,,400,0,Major Cities of Australia
14728,Black Mountain School,14728,Black Mountain School,BMTS,Dryandra Street,O'Connor,2601,ACT,Special,,,149.112366,-35.265224,1.2,Metropolitan Zone Major urban Statistical Districts,,94,,94,0,Major Cities of Australia
14839,Stromlo High School,14839,Stromlo High School,STMH,Badimara Street,Waramanga,2611,ACT,Combined,,,149.05436,-35.355429,1.2,Metropolitan Zone Major urban Statistical Districts,30,653,,683,0,Major Cities of Australia
14840,Conder Primary School,14840,Conder Primary School,CONP,Tom Roberts Avenue,Conder,2905,ACT,Primary,,,149.098449,-35.464883,1.2,Metropolitan Zone Major urban Statistical Districts,426,,,426,0,Major Cities of Australia
14841,Curtin Primary School,14841,Curtin Primary School,CTNP,Theodore Street,Curtin,2605,ACT,Primary,,,149.079926,-35.331662,1.2,Metropolitan Zone Major urban Statistical Districts,402,,,402,0,Major Cities of Australia
15030,Theodore Primary School,15030,Theodore Primary School,THDP,Lawrence-Wackett Crescent,Theodore,2905,ACT,Primary,,,149.12396,-35.447667,1.2,Metropolitan Zone Major urban Statistical Districts,329,,,329,0,Major Cities of Australia
15031,The Woden School,15031,The Woden School,WODS,Denison Street,Deakin,2600,ACT,Special,,,149.092398,-35.326599,1.2,Metropolitan Zone Major urban Statistical Districts,1,79,,80,0,Major Cities of Australia
15066,Gordon Primary School,15066,Gordon Primary School,GRDP,Knoke Avenue,Gordon,2906,ACT,Primary,,,149.086978,-35.455517,1.2,Metropolitan Zone Major urban Statistical Districts,421,,,421,0,Major Cities of Australia
15082,Malkara School,15082,Malkara School,MLKS,Wisdom Street,Garran,2605,ACT,Special,,,149.09402,-35.337447,1.2,Metropolitan Zone Major urban Statistical Districts,68.6,,,68.6,0,Major Cities of Australia
15083,Southern Cross Primary School,15083,Southern Cross Primary School,SOXP,Wirraway Crescent,Scullin,2614,ACT,Primary,,,149.038363,-35.232767,1.2,Metropolitan Zone Major urban Statistical Districts,79,,,79,0,Major Cities of Australia
15096,Bonython Primary School,15096,Bonython Primary School,BONP,Hurtle Avenue,Bonython,2905,ACT,Primary,,,149.082604,-35.431846,1.2,Metropolitan Zone Major urban Statistical Districts,380,,,380,0,Major Cities of Australia
15373,Lanyon High School,15373,Lanyon High School,LANH,Heidelberg Street,Conder,2905,ACT,Secondary,,,149.09507,-35.460389,1.2,Metropolitan Zone Major urban Statistical Districts,,626,,626,0,Major Cities of Australia
15844,Ngunnawal Primary  School,15844,Ngunnawal Primary  School,NWLP,Unaipon Avenue,Ngunnawal,2913,ACT,Primary,,,149.111784,-35.169196,1.2,Metropolitan Zone Major urban Statistical Districts,436,,,436,0,Major Cities of Australia
15941,Mackillop Catholic College,15941,Mackillop Catholic College,,Ellerston Avenue,ISABELLA PLAINS,2905,ACT,Secondary,Systemic,"Catholic, Roman",149.092808,-35.424911,1.2,Metropolitan Zone Major urban Statistical Districts,,637,,637,0,Major Cities of Australia
15951,Emmaus Christian School,15951,Emmaus Christian School,,Davenport Street,DICKSON,2602,ACT,Combined,Non-Systemic,Christian Schools,149.142818,-35.253355,1.2,Metropolitan Zone Major urban Statistical Districts,174,98.6,,272.6,0,Major Cities of Australia
15980,Gold Creek School,15980,Gold Creek School,GCKS,Kelleway Avenue,Nicholls,2913,ACT,Combined,,,149.100262,-35.181275,1.2,Metropolitan Zone Major urban Statistical Districts,443,525,,968,0,Major Cities of Australia
