Name, LocationNo, Street, Town, State, Postcode, Phone, Unlead, PremiumUnlead, BPUltimate, E10, Diesel, Any_Autogas, Hours_24, Trailers, LPGBottle, Toilets, CarWash, CleanGo, SuperWash, Other, Pay, EFTPOS, GIFT_CARD, ATM, Restaurant, TruckStops, Express, BP_UltimateDiesel,
AA Eastlink Inbound,7325,1500 Eastlink Freeway,Scoresby,VIC,3179,(03) 9753-2924,Y,Y,Y,,Y,Y,Y,N,Y,Y,N,,,,,N,Y,Y,Y,Y,N,N,
AA Fairfield,583,490 - 500 Heidelberg Rd,Fairfield,VIC,3078,03 9489 8052,Y,Y,Y,N,Y,Y,Y,N,Y,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,
AA Ferntree Gully,3882,855 BURWOOD HIGHWAY,FERNTREE GULLY,VIC,3156,03 9758 2802,Y,Y,Y,N,Y,Y,Y,Y,Y,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,
AA Fitzroy,272,143 - 153 Johnston St,Fitzroy North,VIC,3065,03 9417 3385,Y,Y,Y,N,Y,Y,Y,N,Y,Y,N,N,N,N,N,Y,Y,N,N,N,N,N,
AA Gladstone Park,3112,Cnr Gladstone Park & Circular Rds,Gladstone Park,VIC,3043,03 9338 2684,Y,Y,Y,N,Y,Y,N,N,Y,N,Y,N,N,N,N,Y,Y,Y,N,N,N,N,
AA Glen Iris,574,44 - 56 High St,Glen Iris,VIC,3146,03 9885 7136,Y,Y,Y,N,Y,Y,Y,N,Y,Y,N,N,N,N,N,Y,Y,Y,N,N,N,N,
AA Heidelberg West,588,184 Bell St,West Heidelberg,VIC,3081,03 9459 6801,Y,Y,Y,N,Y,Y,Y,N,Y,Y,N,N,N,N,N,Y,Y,Y,N,N,N,N,
AA Kew East,59,1399 - 1401 Burke Rd,Kew East,VIC,3102,03 9859 0799,Y,Y,Y,N,Y,Y,Y,N,Y,Y,Y,N,N,Y,N,Y,Y,Y,N,N,N,N,
AA Kingsbury,50,925 Plenty Rd,Kingsbury,VIC,3083,03 9478 1963,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y,N,N,N,N,
AA Mount Eliza,150,1386 Nepean Hwy,Mount Eliza,VIC,3930,03 9775 2188,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,N,N,Y,Y,Y,N,N,N,N,
AA Mulgrave,3222,682 - 688 Springvale Rd,Mulgrave,VIC,3170,03 9562 1437,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,Y,N,Y,Y,Y,N,N,N,N,
AA Norlane,557,298 - 304 Princes Hwy,Corio,VIC,3214,03 5275 2966,Y,Y,Y,N,Y,Y,Y,N,Y,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,
AA North Coburg,3806,989 Sydney Rd,Coburg,VIC,3058,03 9354 6962,Y,Y,Y,N,Y,Y,Y,Y,Y,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,
AA North Fitzroy,3452,269 St Georges Road,Fitzroy North,VIC,3068,03 9481 6185,Y,Y,Y,N,Y,Y,Y,N,Y,Y,N,N,N,N,N,Y,Y,Y,N,N,N,N,
AA Oakleigh,5362,162 - 168 Warrigal Rd,Oakleigh,VIC,3166,03 9579 7360,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,N,N,N,N,
AA Officer Inbound,7010,94 Princes Hwy,Officer,VIC,3809,03 5943 2164,Y,Y,Y,N,Y,Y,Y,N,Y,Y,N,N,N,,N,Y,Y,Y,Y,Y,N,N,
AA Officer Outbound,7020,65 Princes Hwy,Officer,VIC,3809,03 5943 2099,Y,Y,Y,N,Y,Y,Y,N,Y,Y,N,N,N,,N,Y,Y,Y,Y,Y,N,N,
AA Pakenham,5439,Lot 2001 Princes Hwy,Pakenham,VIC,3066,03 59401099,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,Y,y,Y,N,N,N,N,
AA Prahran,3754,500 Malvern Rd,Prahran,VIC,3181,03 9529 3887,Y,Y,Y,N,Y,Y,Y,N,Y,Y,N,N,N,N,N,Y,Y,Y,N,N,N,N,
AA Preston,3662,408 Bell St,Preston,VIC,3072,03 9484 7045,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,N,N,Y,y,Y,N,N,N,N,
AA Reservoir,3722,35 - 37 Gisborne Cres,Reservoir,VIC,3073,03 9469 4103,Y,Y,Y,N,Y,Y,Y,N,Y,Y,Y,N,N,Y,N,Y,Y,N,N,N,N,N,
AA Richmond - Church Street,274,581 Church St,Richmond,VIC,3121,03 9428 7573,Y,Y,Y,N,Y,Y,Y,N,Y,Y,N,N,N,N,N,Y,Y,Y,N,N,N,N,
AA Springvale South,141,Cnr Springvale & Clarke Rds,Springvale,VIC,3172,03 9546 8379,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,N,N,Y,Y,Y,N,N,N,N,
AA Sunbury,28,53 - 55 Horne St,Sunbury,VIC,3429,03 9744 1973,Y,Y,Y,N,Y,Y,Y,N,Y,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,
AA Sunshine,22,139 Mcintyre Rd,Sunshine,VIC,3020,03 9312 6410,Y,Y,Y,N,Y,Y,Y,Y,Y,N,Y,N,N,Y,N,Y,Y,Y,N,N,N,N,
AA Swan Street,3931,282 Swan St,Richmond,VIC,3121,03 9427 7089,Y,Y,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,N,N,Y,Y,Y,N,N,N,N,
AA Templestowe,5361,2 - 4 Union St,Lower Templestowe,VIC,3107,03 9850 8466,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,N,N,N,N,Y,Y,Y,N,N,N,N,
AA Thomastown - High Street,3240,123 High St,Thomastown,VIC,3074,03 9465 2324,Y,Y,Y,N,Y,Y,N,Y,Y,N,Y,Y,N,N,Y,Y,Y,N,N,N,N,N,
AA Thomastown - Keon Parade,3725,72 Keon Pde,Thomastown,VIC,3074,03 9460 7962,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y,N,N,N,N,
AA Wallan Inbound,5908,1052 Hume Freeway,Wallan,VIC,3756,03 5783 1421,Y,Y,Y,N,Y,Y,Y,N,Y,Y,N,N,N,,N,Y,Y,Y,Y,N,N,N,
AA Wallan Outbound,5909,1015 Hume Highway,Wallan,VIC,3756,03 5783 1093,Y,Y,Y,N,Y,Y,Y,N,Y,Y,N,N,N,,N,Y,N,Y,Y,N,N,N,
AA Wantirna South,3673,444 Stud Rd,Wantirna South,VIC,3152,03 9801 5515,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,N,N,N,Y,y,Y,N,N,N,N,
Adelaide River Inn,99,106 Stuart Hwy,Adelaide River,NT,846,08 8976 7047,Y,Y,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,Y,N,Y,Y,N,N,N,
AFD Darwin,5807,5 WISHART ROAD,WISHART,NT,828,08 8984 0827,Y,Y,Y,N,Y,Y,Y,N,Y,N,N,N,N,N,N,Y,N,N,N,Y,N,N,
Alice City BP,1668,Transit Plaza,Alice Springs,NT,870,08 8952 8831,Y,Y,Y,N,Y,Y,Y,N,Y,N,N,N,N,N,N,Y,N,Y,N,N,N,N,
Alice Springs Depot,317,51 Stokes Street,Alice Springs,NT,870,08 8952 1131,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,
Alice Springs Depot - Afd,8020,51 Stokes Street,Alice Springs,NT,870,08 8952 1131,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,
Apex Service Station,416,1 Silvermines Rd,St Arnaud,VIC,3478,03 5495 1466,Y,Y,Y,N,Y,N,N,N,N,Y,Y,N,N,Y,N,Y,N,N,N,N,N,N,
Ardrossan Roadhouse,3176,2 Main Coast Rd,Ardrossan,SA,5571,08 8837 3552,Y,Y,Y,N,Y,Y,N,Y,Y,Y,N,N,N,N,N,Y,N,N,N,N,N,N,
Arnolds BP Smithton,5467,70 Goldie Street,Smithton,TAS,7330,03 6452 2592,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,Y,N,N,N,Y,N,N,N,N,N,N,
Atkinson Dam Cabin Village,8049,Atkinson Dam Road,Atkinsons Dam,QLD,4311,07 5426 4211,Y,Y,N,N,Y,N,N,N,Y,Y,N,N,N,N,N,Y,N,N,Y,N,N,N,
Ausfuel Wishart Trade Counter.,7331,5 Wishart Rd,Berrimah,NT,828,08 8984 0827,N,Y,N,,Y,,N,,,,,,,,,,,,,,N,N,
AYR DCA,5781,108 Edwards Street,AYR,QLD,4807,07 5453 8888,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
Babinda General Store,279,177 Howard Kennedy Dr,Babinda,QLD,4861,07 4067 2332,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,
Ballarat Truckstop,3128,1127 Latrobe St,Ballarat,VIC,3350,03 5336 2599,Y,Y,Y,N,Y,Y,Y,N,Y,Y,Y,N,N,N,N,Y,Y,Y,N,N,N,N,
Barker BP,9168,24 Adelaide Rd,Mount Barker,SA,5251,08 8398 2882,Y,Y,Y,N,N,Y,Y,N,Y,Y,N,N,N,N,N,Y,Y,Y,N,N,N,Y,
Barooga General Store,1236,37 Vermont Street,Barooga,VIC,3644,03 5873 4293,Y,Y,N,N,Y,N,N,N,Y,Y,N,N,N,N,N,Y,N,Y,N,N,N,N,
Baskerville,6043,1084 Great Northern Highway,Baskerville,WA,6056,08 9123 4567,Y,Y,Y,N,Y,N,N,N,N,N,N,N,N,,N,Y,N,N,N,N,N,N,
Baskerville Depot & Dca,6651,1100 Great Northern Highway,Baskerville,WA,6056,08 9296 3396,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,
Batchelor Service Centre,2395,338 Rumjungle Rd,Batchelor,NT,845,08 8976 0196,Y,N,N,N,Y,Y,N,Y,Y,Y,N,N,N,N,N,Y,N,Y,N,N,N,N,
Bellbay Dca,4156,Lot 10 - 12 Bellbay Rd,Bell Bay,TAS,7253,0419 384 136,Y,Y,Y,N,Y,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,
BERRY SPRINGS CENTRE,4435,795 COX PENINSULA ROAD,BERRY SPRINGS,NT,838,08 8988-6091,Y,Y,N,N,Y,N,N,N,N,Y,N,N,N,N,N,Y,N,N,Y,N,N,N,
Bf & Dj Quade,267,77 Forbes St,Trundle,NSW,2875,02 6892 1054,Y,Y,N,N,Y,N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,
BIGGENDEN FOOD & FUEL,5977,1 John Street,BIGGENDEN,QLD,4621,07 4127 1175,Y,,,,Y,,,,,,,,,,,,,,,,,,
Billabong Service Centre,1692,Captian Cook Hwy,Clifton Beach,QLD,4879,07 4055 3066,Y,Y,Y,N,Y,N,N,Y,N,Y,N,N,N,N,N,Y,N,Y,N,N,N,N,
Billabong Takeaway,2560,5 Forbes Street,Yeoval,NSW,2868,07 4743 2660,Y,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,Y,N,N,Y,N,N,N,
Bingara Corner Store,1802,56 Finch St,Bingara,NSW,2404,02 6724 1321,Y,Y,Y,N,Y,N,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,
Birdsville Fuel Service,694,Adelaide St,Birdsville,QLD,4482,07 4656 3236,Y,Y,N,N,Y,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,
Black Stump Service Station,5561,119 Binnia Street,Coolah,NSW,2843,02 6377 1215,Y,N,N,N,Y,N,N,N,Y,Y,N,N,N,N,N,Y,N,N,Y,N,N,N,
Blackbird Energy Texas,5364,37 Greenup Street,TEXAS,QLD,4385,07 4653 0156,,,,,,,,,,,,,,,,,,,,,,,
Blanchetown Roadhouse,9128,Sturt Hwy,Blanchetown,SA,5357,08 8540 5060,Y,N,Y,N,Y,Y,Y,N,Y,Y,N,N,N,N,N,Y,N,Y,Y,N,N,N,
Blayney & United Sales & Service,8388,27 Orange Rd,Blayney,NSW,2799,02 6368 2233,Y,Y,N,N,Y,N,N,N,Y,Y,N,N,N,N,N,Y,N,N,N,N,N,N,
Boddington Service Station,5837,38 Bannister Road,Boddington,WA,6390,08 9883 8011,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,
BP  Wishart,4294,528 Newnham Rd,Wishart,QLD,4122,07 3343 3773,Y,Y,Y,N,N,Y,Y,Y,Y,Y,N,N,N,N,N,Y,N,Y,N,N,N,Y,
BP 2 Go North Ballarat,5441,702 Creswick Road,Ballarat,VIC,3350,03 5331 9157,Y,Y,Y,N,Y,Y,N,N,Y,Y,N,N,N,N,N,Y,Y,Y,Y,N,N,N,
BP 2Go Albion Park,2487,83 Princes Hwy,Albion Park,NSW,2527,02 4257 8000,N,Y,Y,Y,Y,Y,Y,N,Y,Y,N,N,N,N,N,Y,Y,Y,N,N,Y,N,
BP 2Go Asquith,2221,Cnr Pacific Hwy & Jersey St,Asquith,NSW,2077,02 9477 1762,N,Y,Y,Y,Y,Y,Y,N,Y,Y,N,N,N,N,N,Y,Y,Y,N,N,N,N,
BP 2Go Bankstown Airport,3510,335 Henry Lawson Drive,Bankstown,NSW,2200,02 9793 1089,N,Y,Y,Y,Y,Y,N,Y,N,Y,Y,N,Y,N,N,Y,Y,Y,N,N,N,N,
BP 2GO Brighton,138,601 Hampton St,Brighton,VIC,3186,03 9592 6582,Y,N,Y,N,N,N,Y,N,Y,Y,N,N,N,N,N,Y,Y,Y,N,N,Y,N,
BP 2Go Canterbury,9499,322 Canterbury Road,CANTERBURY,NSW,2193,02 9718 2818,N,Y,Y,Y,Y,Y,N,N,Y,Y,Y,N,Y,N,N,Y,Y,Y,N,N,N,N,
BP 2GO Carindale,1414,Corner Of Creek Road And Cuthred Street,Carindale,QLD,4152,07 3398 5155,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,N,Y,N,N,Y,Y,Y,N,N,N,Y,
BP 2GO Cranbourne,3535,Cnr High & Clarendon Sts,Cranbourne,VIC,3977,03 5996 6159,Y,N,Y,N,Y,Y,Y,Y,Y,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,
BP 2GO Diamond Creek,3988,274 Diamond Creek Rd,Diamond Creek,VIC,3089,03 9435 1294,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,N,N,Y,Y,N,N,N,N,N,
BP 2GO Melton,3600,Cnr High & Station Sts,Melton,VIC,3337,03 9743 9517,Y,Y,Y,N,Y,Y,Y,Y,Y,N,N,N,N,N,N,Y,Y,Y,N,N,Y,N,
BP 2GO Riverwood,2260,189 Belmore Rd,Riverwood,NSW,2210,02 9534 3965,N,Y,Y,Y,N,Y,N,Y,Y,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,
BP 2GO Tally Ho,548,Cnr Blackburn & Highbury Rds,Tally Ho,VIC,3149,03 9803 4843,Y,Y,Y,N,Y,Y,Y,Y,Y,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,
BP 2GO Virginia,1462,1830 Sandgate Road,Virginia,QLD,4014,07 3265 3088,Y,Y,Y,N,N,Y,Y,Y,Y,Y,N,N,N,N,N,Y,Y,Y,N,N,N,Y,
BP 2GO Watsonia,51,Cnr Watsonia Rd & Grace St,Watsonia,VIC,3087,03 9435 6365,Y,N,Y,N,Y,Y,Y,Y,Y,N,N,N,N,N,N,Y,Y,Y,N,N,Y,N,
BP 2GO Western Highway,345,9401 Western Hwy,Warrenheip,VIC,3352,03 5334 7821,Y,Y,Y,N,Y,Y,Y,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,
BP Acacia Ridge,3247,1434 Beaudesert Rd,Acacia Ridge,QLD,4110,07 3255 5199,Y,N,Y,N,Y,N,N,Y,N,Y,N,N,N,N,N,Y,N,Y,N,N,N,N,
BP Ackland Gardens,9135,62 Daws Rd,Edwardstown,SA,5039,08 8276 7639,Y,Y,Y,N,Y,Y,N,N,N,Y,N,N,N,N,N,Y,Y,Y,N,N,N,N,
BP Airds,5792,Lot 748, 56 - 60 Riverside Drive,Airds,NSW,2560,02 4628 7933,N,N,Y,Y,Y,N,N,N,Y,Y,N,N,N,N,N,Y,Y,Y,N,N,N,N
BP AIRPORT BUNDABERG,6959,127 Takalvan Street,BUNDABERG,QLD,4670,07 4155 1464,Y,N,Y,N,Y,Y,N,N,Y,Y,N,N,N,,N,Y,Y,Y,Y,N,N,N,
BP Albion,1401,Albion St,Warwick,QLD,4370,07 4661 7533,Y,N,Y,N,Y,N,Y,N,Y,Y,N,N,N,N,N,Y,Y,Y,N,N,N,N,
BP Aldgate,3807,345 Mt Barker Road,Aldgate,SA,5154,08 8339 2023,Y,Y,Y,N,Y,Y,N,Y,Y,Y,N,N,N,N,N,Y,Y,Y,N,N,N,N,
BP Allambie Heights,754,Corner Of Allambie Road And Flers Street,Allambie Heights,NSW,2100,02 9451 5405,Y,Y,Y,N,Y,N,N,Y,Y,Y,N,N,N,N,N,Y,Y,N,N,N,N,N,
BP Allway Motors,1862,35 Albany Hwy,Albany,WA,6330,08 9841 5411,Y,Y,Y,N,Y,Y,N,N,Y,Y,N,N,N,N,N,Y,N,N,N,N,N,N,
BP Amberley,7336,2487 Cunningham Highway,Purga,QLD,4306,07 5467 3211,Y,Y,Y,,Y,Y,N,Y,Y,Y,N,,,,,Y,N,Y,Y,,N,N,
BP Anna Bay,5824,135 GAN GAN ROAD,ANNA BAY,NSW,2316,02 4982 2206,Y,Y,Y,N,Y,Y,N,Y,Y,Y,N,N,N,N,N,Y,Y,N,N,N,N,N,
BP Applecross,6200,848 Canning Hwy,Applecross,WA,6153,08 9364 2471,Y,Y,Y,N,N,Y,Y,Y,Y,Y,N,N,N,N,N,Y,Y,N,N,N,N,Y,
BP Aramac,8062,Barcaldine Rd,Aramac,QLD,4726,07 4651 3256,Y,Y,N,N,Y,N,N,N,N,Y,N,N,N,N,N,Y,N,N,Y,N,N,N,
BP Ararat,7346,44 Lambert Street,Ararat,VIC,3377,03 5352 5566,Y,,Y,,Y,,,,,,,,,,,,,,,,,,
BP Aratula,9968,6712 Cunningham Hwy,Aratula,QLD,4309,07 5463 8233,Y,N,Y,N,Y,Y,Y,N,Y,Y,N,N,N,N,N,Y,Y,Y,Y,N,N,N,
BP Archerfield,685,Cnr Randolph St and Boundary Road,Archerfield,QLD,4108,07 3255 5522,Y,Y,Y,N,Y,Y,Y,N,N,Y,N,N,N,N,N,Y,N,Y,Y,Y,N,N,
BP Armadale,1803,3249 Albany Hwy,Armadale,WA,6112,08 9399 2204,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,N,N,Y,Y,N,Y,N,N,N,
BP Armidale RDD,7191,84 Marsh Street,ARMIDALE,NSW,2350,02 6771 3900,Y,,Y,Y,Y,Y,N,N,Y,Y,N,N,N,,,Y,Y,Y,N,,N,N,
BP Ascot,1778,Corner Of Kitchener Road And Oriel Road,Ascot,QLD,4007,07 3262 2433,Y,N,Y,N,N,N,N,Y,Y,Y,N,N,N,N,N,Y,N,N,N,N,N,Y,
BP Ashford Road & Dca,8392,313 Byron St,INVERELL,NSW,2360,02 6722 1530,Y,N,Y,N,Y,N,Y,N,Y,Y,N,N,N,N,Y,Y,N,N,N,N,N,N,
BP Ashmore,7047,Corner Of Central Park Avenue And Southport Nerang Road,Ashmore,QLD,4214,07 5597 3822,N,Y,Y,Y,N,Y,Y,Y,Y,Y,N,N,N,N,N,Y,Y,Y,N,N,N,Y,
BP Ashmore Village,7245,Cotlews & Currumburra Rd,ASHMORE,QLD,4151,07 5539 1386,Y,Y,Y,N,N,Y,N,N,Y,Y,N,N,N,,N,Y,Y,Y,N,N,N,Y,
BP Athol Park OPT,6730,17-19 Athol Street,Athol Park,SA,5012,,,,,,,,,,,,,,,,,,,,,,,,
BP Attadale,6188,Cnr Canning Hwy & Hislop Rd,Attadale,WA,6156,08 9330 2353,Y,Y,Y,N,N,Y,N,Y,Y,N,N,N,N,N,N,Y,Y,Y,N,N,N,Y,
BP Auburn,759,Cnr Parramatta Rd & Stubbs St,Auburn,NSW,2144,02 9647 1167,N,Y,Y,Y,Y,Y,Y,N,Y,Y,N,N,N,N,N,Y,Y,Y,N,N,N,N,
BP Auburn Main North,6970,11 Main North Road,Auburn,SA,5451,08 8849 2130,Y,Y,N,N,Y,Y,N,N,Y,Y,N,N,N,,N,Y,Y,N,N,N,N,N,
BP Australind,1864,80 Old Coast Rd,Australind,WA,6230,08 9797 1505,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,N,N,Y,Y,N,Y,N,N,N,
BP Avalon,761,662 - 664 Barrenjoey Rd,North Avalon,NSW,2107,02 9918 2962,N,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,N,N,N,Y,Y,N,N,N,N,N,
BP Ayr,5708,108 Edwards Street,AYR,QLD,4807,07 4783 4308,N,Y,Y,Y,Y,N,N,N,Y,Y,N,N,N,N,N,Y,y,N,N,N,N,N,
BP Bacchus Marsh,1035,65 Grant St,Bacchus Marsh,VIC,3340,03 5367 4644,Y,Y,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,
BP Bagot Road,9300,331 Bagot Rd,Nightcliff,NT,810,08 8985 2550,Y,Y,N,N,Y,N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,
BP Bairnsdale,3289,232 - 236 Main St,Bairnsdale,VIC,3875,03 5152 3124,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,N,N,Y,Y,Y,N,N,N,N,
BP Balaclava,3666,308 Carlisle St,Balaclava,VIC,3183,03 9527 4359,Y,Y,Y,N,N,Y,N,Y,Y,N,Y,N,Y,N,N,Y,Y,Y,N,N,N,N,
BP Balcatta,1843,53 Erindale Road,Balcatta,WA,6021,08 9240 4110,Y,Y,Y,N,Y,Y,N,N,Y,Y,N,N,N,N,N,Y,Y,Y,N,N,N,N,
BP Balladonia,6304,Eyre Hwy,Balladonia,WA,6443,08 9039 3453,Y,N,Y,N,Y,Y,N,N,N,Y,N,N,N,N,N,Y,N,N,Y,N,N,N,
BP Ballajura,6330,CORNER OF ALEXANDER DRIVE AND ILLAWARRA CRESCENT,KOONDOOLA,WA,6064,08 9248 1110,Y,Y,Y,N,Y,Y,N,Y,Y,Y,N,N,N,N,N,Y,Y,Y,N,N,N,Y,
BP Ballan Travel Stop,2225,Lot 1 WESTERN FREEWAY,BALLAN,VIC,3342,03 5368 1148,Y,Y,Y,N,Y,Y,Y,N,Y,Y,N,N,N,N,N,Y,Y,Y,Y,Y,N,N,
BP Balranald Dca,108,Sturt Highway,Balranald,NSW,2715,NA,Y,Y,N,N,Y,Y,Y,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,
Bp Bamaga Service Station,8025,Lui Street,Bamaga,QLD,4876,07 4069 3275,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,
BP Bankstown,767,126 Chapel Road South,Bankstown,NSW,2200,02 9793 3777,N,Y,Y,Y,Y,N,Y,N,Y,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,
BP Barham,8367,Moulamein Road,BARHAM,NSW,2732,03 5453 2214,Y,Y,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,Y,N,N,N,N,N,N,
BP Barolin St,5817,19 Barolin Street,Bundaberg,QLD,4670,07 4151 1522,Y,Y,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,
BP Barraba,445,69 Queen St,Barraba,NSW,2347,02 6782 2046,Y,Y,N,N,Y,N,N,N,Y,Y,N,N,N,N,N,Y,Y,Y,N,N,N,N,
