State,Suburb,Brand,Address,Postcode,Phone,E10,ULP,PULP,VX98,LPG,Diesel,Biodiesel,Vortex Diesel,Eftpos,Workshop,OpenAllHours,Carwash,Disabled Toilet,ATM,BBQ Gas,Truckstop,Starcash,E-FLEX,VX95,Longitude,Latitude
QLD,HELENSVALE,CALTEX,PACIFIC HWY CNR HELENSVALE RD,4210,07 55734198,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,Yes,No,Yes,153.3186950,-27.9063470
NSW,LUDDENHAM,CALTEX,19 THE NORTHERN RD,2745,02 47734466,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,,No,Yes,No,N,No,No,Yes,150.7046470,-33.9116140
TAS,SASSAFRAS,CALTEX,BASS HWY,7307,03 64267243,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,,No,No,No,N,No,No,Yes,146.4788010,-41.2665070
TAS,EXETER,AMPOL,84 MAIN ROAD,7275,03 63943216,No,Yes,No,No,No,Yes,No,No,Yes,Yes,No,,No,No,No,N,No,No,Yes,146.9567360,-41.3026340
TAS,WESTBEACH,CALTEX,NORTH TERRACE CNR MOUNT ST,7320,03 64315317,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,,No,Yes,No,N,No,No,Yes,145.9051300,-41.0497400
QLD,EAGLE FARM,CALTEX,645-647 KINGSFORD SMITH DRIVE,4007,07 36301977,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,,No,No,Yes,N,No,No,Yes,153.0779170,-27.4348610
NSW,RIVERSTONE,CALTEX,127 GARFIELD RD,2765,02 96271310,No,Yes,No,No,No,Yes,No,No,Yes,Yes,No,,No,No,No,N,No,No,Yes,150.8500920,-33.6855820
WA,EXMOUTH,CALTEX,MURAT RD,6707,08 99491052,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,,Yes,Yes,Yes,N,Yes,No,Yes,114.1273190,-21.9327600
QLD,SOUTHPORT,CALTEX,152 SMITH ST CNR KUMBARI AVE,4215,07 55917120,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,N,Yes,No,Yes,153.3953430,-27.9623410
VIC,GREENVALE,CALTEX,CNR MICKLEHAM RD & GREENVALE DRIVE,3059,03 93331889,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,N,No,No,Yes,144.8808170,-37.6399640
SA,SEAFORD,CALTEX,336 SEAFORD ROAD,5169,08 83861055,No,No,No,No,No,Yes,No,No,No,Yes,No,,No,No,No,N,No,No,No,138.4891980,-35.1804690
QLD,CALLIOPE,CALTEX,46 STIRRAT STREET,4680,07 4975 7317,No,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No,,No,No,No,N,No,No,Yes,151.2004300,-24.0069690
SA,PETERBOROUGH,CALTEX,92 MAIN ST,5422,08 86513222,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,,No,No,No,N,No,No,No,138.8405710,-32.9731110
SA,ARDROSSAN,INDEPENDENT,17 FIFTH ST,5571,08 88373309,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,,No,No,No,N,No,No,No,137.9182110,-34.4237710
NSW,ALEXANDRIA,CALTEX,133 WYNDHAM ST CNR MCEVOY ST,2015,02 96996755,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,N,No,No,No,151.2001470,-33.9020720
NSW,NARWEE,CALTEX,CNR BROADARROW & PENSHURST RDS,2209,02 91538857,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,,No,No,Yes,N,No,No,Yes,151.0708380,-33.9482100
NSW,PENDLE HILL,CALTEX,602-606 GREAT WESTERN HWY,2145,02 96882194,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,N,Yes,Yes,Yes,150.9424440,-33.8085100
NSW,BERMAGUI,CALTEX,2 LAMONT STREET,2546,02 64933707,No,Yes,No,No,No,Yes,No,No,Yes,Yes,No,,No,No,Yes,N,Yes,No,Yes,150.0793520,-36.4256480
QLD,BOYNE ISLAND,CALTEX,MALPAS ST & CURTIS AVE,4680,07 4973 8411,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,No,,No,No,No,N,No,No,Yes,151.3517160,-23.9546060
QLD,CHERMSIDE,CALTEX,644 WEBSTER RD CNR MILBURN ST,4032,07 33596604,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,,No,No,No,N,No,No,Yes,153.0223870,-27.3800810
WA,GERALDTON,CALTEX,LOT 1753 WILLCOCK DR,6530,08 99212490,No,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Yes,,No,No,No,1,No,No,No,114.6112040,-28.7760200
WA,DALWALLINU,CALTEX,LOT 394 RAILWAY PARADE,6609,08 96611244,No,Yes,No,Yes,No,Yes,No,No,No,Yes,No,,No,No,No,N,No,No,No,116.6649610,-30.2736700
QLD,WOOMBYE,INDEPENDENT,30 PALMWOODS TURNOFF,4557,07 54421579,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,,No,No,No,1,No,No,No,152.9766990,-26.6680440
WA,NEDLANDS,CALTEX,1 BROADWAY ST CNR STIRLING HWY,6009,08 93864140,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,,No,Yes,Yes,N,Yes,No,Yes,115.8137930,-31.9772740
NSW,WEETHALLE,INDEPENDENT,RAILWAY STREET,2669,02 69756116,No,Yes,No,No,No,Yes,No,No,Yes,Yes,No,,No,No,No,N,No,No,Yes,146.6229150,-33.8753560
VIC,WALLAN,CALTEX,130-132 NORTHERN HWY,3756,03 57831175,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,,No,No,Yes,N,No,No,No,144.9781010,-37.4306100
NSW,SOUTH KEMPSEY,CALTEX,PACIFIC HWY CNR 1 ANGUS MCNEIL CRES,2440,02 65624180,No,Yes,No,No,No,Yes,Yes,No,Yes,Yes,No,,No,No,No,N,No,No,Yes,152.8380120,-31.0965720
WA,WILLIAMS,CALTEX,LOT 16-17 ALBANY HIGHWAY,6391,08 98851104,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,,Yes,No,No,7,No,No,No,116.8790000,-33.0266000
WA,WESTMINSTER,CALTEX,436 WANNEROO RD,6061,08 93494300,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,,No,Yes,Yes,N,Yes,No,Yes,115.8297610,-31.8681150
TAS,KINGS MEADOWS,CALTEX,90-92 HOBART RD,7250,03 63446273,No,Yes,No,No,No,Yes,No,No,Yes,Yes,No,,No,No,No,N,No,No,Yes,147.1591980,-41.4655080
TAS,KEMPTON,CALTEX,3001 MIDLANDS HIGHWAY,7030,03 62591255,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,,No,No,Yes,2,No,No,No,147.1889840,-42.5113050
TAS,HUONVILLE,CALTEX,5 MAIN ROAD,7109,03 62642118,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,,No,No,No,N,No,No,No,147.0473380,-43.0324480
TAS,CLAREMONT,CALTEX,708 MAIN ROAD,7011,03 62491845,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,,No,No,Yes,N,No,No,Yes,147.2545810,-42.8018770
TAS,HOWRAH,CALTEX,11A HOWRAH RD,7018,03 62479125,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,,No,No,Yes,N,No,No,No,147.4050100,-42.8831890
TAS,GROVE,INDEPENDENT,1952 HUON HIGHWAY (GROVE STORE),7109,03 62664231,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,,No,No,No,N,No,No,No,147.0969960,-42.9817770
TAS,HOBART,CALTEX,64 SANDY BAY ROAD,7000,03 62235125,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,,No,No,No,N,No,No,Yes,147.3304470,-42.8894760
TAS,SOUTH HOBART,CALTEX,414 HUON ROAD,7004,03 62232373,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,,No,No,No,N,No,No,No,147.3044420,-42.8985590
QLD,CHILDERS,CALTEX,BRUCE HWY,4660,07 4126 1188,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,,No,Yes,No,7,No,No,Yes,152.2896610,-25.2398680
NSW,BUNGENDORE,CALTEX,42 MALBON STREET,2621,02 62381332,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,,No,No,Yes,N,No,No,Yes,149.4426480,-35.2564510
QLD,SOUTH GLADSTONE,CALTEX,177 TOOLOOA ST,4680,07 4979 1301,Yes,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,,No,No,No,1,No,No,No,151.2719600,-23.8652090
QLD,MILES,AMPOL,90 MURILLA STREET,4415,07 4627 1640,No,Yes,No,No,No,Yes,No,No,Yes,Yes,No,,No,No,No,N,No,No,Yes,150.1883880,-26.6598280
NSW,DUBBO,CALTEX,COBRA ST CNR BRISBANE ST,2830,02 68844622,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,,No,Yes,Yes,N,No,No,Yes,148.6030040,-32.2532620
VIC,FRANKSTON NORTH,CALTEX,170 FRANKSTON-DANDENONG RD CNR JUBI,3200,03 97851553,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,,No,No,No,N,No,No,Yes,145.1366340,-38.1261830
NSW,ALBION PARK RAIL,CALTEX,31 PRINCES HWY,2527,02 42571135,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,,No,Yes,Yes,N,Yes,No,Yes,150.7877370,-34.5517530
ACT,MITCHELL,CALTEX,116 LYSAGHT ST,2911,02 62414032,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,,No,No,Yes,N,No,No,No,149.1399470,-35.2150940
VIC,BRIDGEWATER ON LODDON,CALTEX,CNR CALDER HWY & KERANG RD,3516,03 54373042,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,,No,No,No,N,No,No,No,143.9372630,-36.5990070
QLD,HUGHENDEN,CALTEX,GRAY ST,4821,07 4741 1132,No,Yes,No,No,No,Yes,No,No,No,Yes,No,,No,No,No,1,No,No,Yes,144.1998260,-20.8446930
QLD,BOWEN,CALTEX,BRUCE HWY,4805,07 4786 1771,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,,No,No,No,7,No,No,No,148.2148100,-20.0273200
WA,OSBORNE PARK,CALTEX,6-8 MAIN ST,6017,08 94441392,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,,No,No,No,N,Yes,No,Yes,115.8283140,-31.9137720
VIC,WARRNAMBOOL,AMPOL,634 RAGLAN PDE,3280,03 5561 1853,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,,No,No,No,N,No,No,Yes,142.4820910,-38.3779170
VIC,KOO WEE RUP,CALTEX,STATION ST,3981,03 59972277,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,,No,No,Yes,N,No,No,No,145.4888840,-38.1988350
NSW,WARRAWONG,CALTEX,75-77 KING ST CNR HOSKINS ST,2502,02 42751615,Yes,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,,No,Yes,Yes,N,Yes,No,Yes,150.8885750,-34.4903410
NSW,UNGARIE,INDEPENDENT,76 WOLLONGOUGH STREET,2669,02 69759076,No,Yes,No,No,No,Yes,No,No,Yes,Yes,No,,No,No,Yes,N,No,No,No,146.9719980,-33.6384420
NSW,MOONBI,CALTEX,NEW ENGLAND HIGHWAY,2353,02 67603138,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No,,Yes,Yes,Yes,7,Yes,No,Yes,151.0691040,-31.0227500
QLD,PIMLICO,CALTEX,13 PALMERSTON STREET,4812,07 47252802,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No,,No,No,No,N,No,No,No,146.7894160,-19.2815930
QLD,WINTON,CALTEX,1 CHIRNSIDE STREET,4735,07 46571146,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No,,No,No,No,N,No,No,Yes,143.0471430,-22.3807410
QLD,LEICHHARDT,CALTEX,EDWARD ST CNR OLD TOOWOOMBA RD,4305,07 32816201,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,,No,No,Yes,N,No,No,No,152.7431570,-27.6274550
TAS,ELIZABETH TOWN,CALTEX,BASS HIGHWAY,7304,03 63681216,No,Yes,No,No,No,Yes,No,No,Yes,Yes,No,,No,No,No,N,No,No,Yes,146.5660460,-41.4525260
NSW,BURREN JUNCTION,CALTEX,CNR WATERLOO & ALMA STS,2386,02 67961455,No,Yes,Yes,No,No,Yes,No,No,No,Yes,No,,No,No,No,1,No,No,No,148.9659640,-30.1035150
NSW,CASINO,CALTEX,58-60 HAIR ST,2470,02 66621840,No,Yes,No,No,No,Yes,No,No,Yes,Yes,No,,No,No,No,1,No,No,Yes,153.0376910,-28.8703040
TAS,ROCKY CAPE,CALTEX,BASS HIGHWAY,7321,03 64434273,No,Yes,No,No,No,Yes,No,No,Yes,Yes,No,,Yes,Yes,Yes,N,No,No,Yes,145.4699120,-40.8876940
QLD,CAIRNS,CALTEX,60-88 DRAPER ST,4870,07 40511455,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,,No,No,No,1,No,No,No,145.7751900,-16.9341970
QLD,CAIRNS,CALTEX,60-88 DRAPER ST,4870,07 40511455,No,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,,No,No,No,N,Yes,No,No,145.7753020,-16.9343220
WA,EAST FREMANTLE,INDEPENDENT,10 RIVERSIDE ROAD,6158,08 93395666,No,Yes,No,No,No,Yes,No,No,No,Yes,Yes,,No,No,No,N,No,No,No,115.7596360,-32.0412360
NSW,BENDALONG,INDEPENDENT,20 WARATAH STREET,2539,02 44561113,Yes,No,Yes,No,No,Yes,No,No,Yes,Yes,No,,No,No,Yes,N,No,No,No,150.5319420,-35.2466800
NSW,CASULA,CALTEX,646 HUME HWY,2170,02 96028482,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,N,No,Yes,Yes,150.8937250,-33.9560800
VIC,MANSFIELD,CALTEX,2 CHENERY STREET,3722,03 5775 2525,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,,Yes,Yes,Yes,N,No,No,Yes,146.0928650,-37.0532510
NSW,TIBOOBURRA,INDEPENDENT,1 SILVER CITY HIGHWAY,2880,08 80913477,No,Yes,No,No,No,Yes,No,No,Yes,Yes,No,,No,No,No,1,No,No,No,142.0099620,-29.4356730
QLD,DALBY,CALTEX,58 LOUDOUN ST,4405,07 46622688,No,Yes,No,No,No,No,No,Yes,Yes,Yes,No,,No,No,No,N,No,No,Yes,151.2364770,-27.1839650
QLD,HERVEY BAY,CALTEX,CHAPEL RD VIA NIKENBAH,4655,07 41281148,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,No,,No,No,No,1,No,No,Yes,152.8052170,-25.3181800
QLD,MAREEBA,CALTEX,122 MASON STREET,4880,07 40511455,No,Yes,No,No,No,Yes,No,No,No,Yes,Yes,,No,No,No,1,No,No,Yes,145.4204390,-17.0053090
WA,TOODYAY,CALTEX,28 STIRLING TERRACE,6566,08 95742478,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,,No,Yes,Yes,N,No,No,Yes,116.4755270,-31.5556370
TAS,HADSPEN,CALTEX,WINIFRED JANE CR & MAIN ST,7290,03 63936333,No,Yes,No,No,No,Yes,No,No,Yes,Yes,No,,No,No,No,N,No,No,Yes,147.0693900,-41.5037410
ACT,KALEEN,CALTEX,275 MARIBYRNONG AVE,2617,02 62417515,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,,No,Yes,Yes,N,Yes,No,Yes,149.1040680,-35.2334990
QLD,CLONCURRY,BP,25 McILLWRAITH ST,4824,07 4742 1416,No,Yes,Yes,No,No,Yes,No,No,No,Yes,No,,No,No,No,1,No,No,No,140.5222820,-20.7067470
SA,KANGARILLA,INDEPENDENT,MCLAREN FLAT ROAD,5157,08 83837025,No,Yes,No,No,No,Yes,No,No,Yes,Yes,No,,No,No,No,N,Yes,No,Yes,138.6571510,-35.1482210
NSW,QUEANBEYAN,CALTEX,BUNGENDORE RD,2620,02 62993910,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,,No,Yes,Yes,N,Yes,No,Yes,149.2434570,-35.3492420
VIC,WANTIRNA SOUTH,CALTEX,1321 HIGH STREET,3152,03 98875233,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,N,No,No,Yes,145.2222470,-37.8765780
NSW,MARSDEN PARK,CALTEX,CNR GARFIELD & RICHMOND RDS,2765,02 96273134,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,,Yes,Yes,Yes,N,Yes,No,Yes,150.8321360,-33.6978070
QLD,MERMAID BEACH,CALTEX,2610-2612 GOLD COAST HIGHWAY,4218,07 55316257,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,N,Yes,No,Yes,153.4316230,-28.0365840
VIC,ST ALBANS,CALTEX,151-167 KINGS ROAD,3021,03 93646785,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,,No,Yes,Yes,N,No,No,Yes,144.7817510,-37.7267390
QLD,APPLE TREE CREEK,CALTEX,BRUCE HWY,4660,07 41261605,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,,No,Yes,Yes,7,Yes,No,No,152.2333870,-25.2138560
VIC,CHELSEA HEIGHTS,CALTEX,241 WELLS ROAD,3196,03 97761497,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,,Yes,Yes,Yes,N,Yes,No,Yes,145.1394180,-38.0431410
QLD,RUNAWAY BAY,CALTEX,205 BAYVIEW ST,4216,07 55290988,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,,No,No,Yes,N,Yes,No,Yes,153.4016790,-27.9042520
NSW,CABRAMATTA,CALTEX,166 JOHN ST CNR GLADSTONE ST,2166,02 97270081,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,,No,No,No,N,No,No,Yes,150.9279410,-33.8941480
NT,COOLALINGA,CALTEX,13 STUART HIGHWAY,0835,08 89831456,No,Yes,Yes,No,No,Yes,No,No,No,Yes,No,,No,Yes,Yes,1,No,No,No,131.0397550,-12.5224590
WA,WALPOLE,AMPOL,23-24 NOCKOLDS STREET,6398,08 98401031,No,Yes,No,No,Yes,Yes,No,No,No,Yes,No,,No,No,No,N,No,No,Yes,116.7303040,-34.9766860
NSW,BOMADERRY,CALTEX,1 BELINDA ST CNR BOLONG RD,2541,02 42762812,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,,No,No,Yes,N,Yes,No,Yes,150.6052520,-34.8580120
QLD,CONDON,CALTEX,881-885 RIVERWAY DR,4815,07 47735611,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,,No,Yes,No,N,No,No,Yes,146.7272960,-19.3316660
QLD,RAILWAY ESTATE,CALTEX,11 RAILWAY AVE CNR SEVENTH AVE,4810,07 47712495,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,,No,Yes,No,N,No,No,Yes,146.8155620,-19.2723050
SA,MOUNT GAMBIER,CALTEX,141-141A COMMERCIAL STREET WEST,5290,08 87258233,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,,No,Yes,Yes,N,No,No,No,140.7745640,-37.8265410
SA,LARGS BAY,CALTEX,354 MILITARY ROAD,5016,08 83415494,No,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No,No,No,N,No,No,No,138.4931450,-34.8198750
SA,NARACOORTE,CALTEX,231 SMITH ST,5271,08 87620772,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,,No,No,No,N,No,No,Yes,140.7572340,-36.9524660
VIC,GISBORNE,AMPOL,7 HAMILTON STREET,3437,03 54282210,No,Yes,No,No,No,No,No,No,No,Yes,No,,No,No,No,N,No,No,Yes,144.6775130,-37.4648090
QLD,DALBY,AMPOL,99-101 DRAYTON ST,4405,07 46621900,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,,No,No,No,1,No,No,No,151.2678980,-27.1879860
QLD,MACKAY HARBOUR,INDEPENDENT,MULHERIN DVE,4740,07 49556855,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,,No,No,Yes,N,No,No,No,149.2240930,-21.1115150
WA,BALDIVIS,CALTEX,SAFETY BAY RD CNR BALDIVIS RD,6171,08 95231540,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,N,Yes,No,Yes,115.8208710,-32.3307310
WA,SOUTHERN CROSS,CALTEX,GREAT EASTERN HIGHWAY,6426,08 90491168,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,,No,No,No,6,No,No,Yes,119.3318700,-31.2322200
WA,COLLIE,CALTEX,124 THROSSELL STREET,6225,08 97343119,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,,Yes,Yes,Yes,N,No,No,No,116.1528480,-33.3597740
SA,MAITLAND,INDEPENDENT,43 ROBERT STREET,5573,08 88322725,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,,No,No,No,N,No,No,No,137.6733860,-34.3732760
TAS,LAUNCESTON,CALTEX,2-6 GODERICH STREET,7250,03 63314635,No,Yes,No,No,No,Yes,No,No,Yes,Yes,No,,No,No,No,N,No,No,Yes,147.1320220,-41.4225540
TAS,GLENDHU,CALTEX,329-333 WELLINGTON ST,7249,03 63430212,No,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No,,No,No,No,N,No,No,Yes,147.1445910,-41.4539030
TAS,SPREYTON,CALTEX,2 MERSEY MAIN ROAD,7310,03 64272214,No,Yes,No,No,No,Yes,No,No,No,Yes,No,,No,No,No,N,No,No,Yes,146.3439400,-41.2109150
TAS,LINDISFARNE,CALTEX,109 EAST DERWENT HWY,7015,03 62439368,No,Yes,No,No,No,No,No,Yes,Yes,Yes,No,,No,No,No,N,No,No,Yes,147.3603300,-42.8518720
VIC,KYABRAM,CALTEX,33-37 MCCORMICK RD,3620,03 58522107,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,,No,No,No,N,Yes,No,Yes,145.0358220,-36.3078630
VIC,MOOROOPNA,CALTEX,40 MCLENNON ST CNR OBRIEN ST,3629,03 58251968,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,,No,No,Yes,N,No,No,No,145.3623840,-36.3938290
VIC,TONGALA,CALTEX,33 HENDERSON ROAD,3621,03 58590064,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,,No,No,Yes,N,No,No,No,144.9481120,-36.2496710
NSW,WALCHA,INDEPENDENT,108W FITZROY ST,2354,02 67772151,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,,No,No,No,1,No,No,No,151.5875330,-30.9841460
SA,COLLINSWOOD,CALTEX,101-105 NORTH EAST RD,5081,08 83441850,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,N,Yes,No,Yes,138.6166690,-34.8867060
WA,WATERLOO,AMPOL,SOUTH WEST HIGHWAY,6228,08 97958958,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,,No,No,No,N,No,No,No,115.7232690,-33.3401690
NSW,GUMLY GUMLY,CALTEX,STURT HWY,2652,02 69227263,No,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Yes,,No,Yes,Yes,6,No,No,Yes,147.4426540,-35.1355590
QLD,ROCKLEA,CALTEX,117 SHERWOOD RD,4106,07 38485243,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,,No,Yes,No,1,No,No,Yes,153.0055680,-27.5388400
