"Locality","Site Address","State","Post","Site phone number","Synergy","Pulp","Dsl+","Lpg","24 Hours","C/Wash","Fast Food","T/stop","SynergyE10"
"CROOKWELL","CARRINGTON STREET","NSW","2583","02-4832 1425","NO","NO","YES","YES","NO","NO","NO","NO","NO"
"COFFS HARBOUR","150-156 PACIFIC HWY","NSW","2450","02 6651 1313","NO","YES","YES","YES","YES","YES","NO","NO","YES"
"BOMADERRY","33 BOLONG ROAD","NSW","2541","02 4421 6671","NO","YES","YES","YES","NO","NO","NO","NO","YES"
"COOMA","42 SHARP STREET","NSW","2630","02 6452 3550","NO","YES","YES","YES","YES","NO","YES","NO","YES"
"ALICE SPRINGS","LARAPINTA DRIVE","NT","870","08-8952 3320","NO","NO","YES","YES","NO","NO","NO","NO","NO"
"ALICE SPRINGS","70 SPEARWOOD RD","NT","871","08-8952 1238","NO","NO","YES","NO","NO","NO","NO","NO","NO"
"TI TREE WELL","STURT HWY","NT","871","08-8956 9741","NO","NO","YES","YES","NO","NO","YES","YES","NO"
"ALICE SPRINGS","34 NORTH STURT HWY","NT","870","08 8952 6980","NO","YES","YES","YES","NO","NO","YES","NO","NO"
"TENNANT CREEK","LOT 1192 PATERSON STREET","NT","860","08-8962 2855","NO","NO","YES","YES","NO","NO","YES","NO","NO"
"ALICE SPRINGS","GHAN ROAD","NT","871","08-8952 6222","NO","YES","YES","NO","NO","NO","NO","YES","NO"
"MACKAY","CNR SYDNEY STREET & ALFRED STREET","QLD","4740","07-4951 1314","NO","NO","YES","NO","NO","NO","NO","NO","YES"
"TULLY","BRUCE HWY","QLD","4854","07 4068 1351","NO","YES","YES","YES","NO","NO","YES","NO","YES"
"CANNONVALE","LOT 2 SHUTE HARBOUR RD","QLD","4802","07-4946 1036","NO","YES","YES","NO","NO","YES","YES","NO","NO"
"MIRIWINNI","LOT 2 BRUCE HIGHWAY","QLD","4871","07 4067 6248","NO","YES","YES","NO","NO","NO","YES","NO","NO"
"KOAH","2 KOAH ROAD, KOAH","QLD","4872","07-4093 7887","NO","YES","YES","YES","NO","NO","YES","NO","NO"
"EDMONTON","75-77 BRUCE HWY","QLD","4868","07 4055 4142","NO","YES","NO","NO","YES","NO","YES","NO","NO"
"MOURILYAN","26 Bruce Highway, Mourilyn","QLD","4585","07-4063 2888","NO","YES","NO","YES","NO","NO","YES","NO","NO"
"MALANDA","CNR MILLAA MILLAA RD & MEMORIAL AV","QLD","4885","07-4096 5072","NO","YES","NO","NO","NO","NO","YES","NO","NO"
"MACKAY NORTH","36 EVANS AVENUE","QLD","4740","07-4957 7898","NO","YES","YES","YES","NO","NO","YES","NO","NO"
"CLIFTON BEACH","CNR CAPTAIN COOK HWY & ENDEAVOUR","QLD","4879","07-4055 3918","NO","NO","YES","NO","NO","NO","YES","YES","NO"
"CAIRNS","138 SPENCE STREET","QLD","4870","07-4051 5483","NO","NO","YES","YES","NO","NO","NO","NO","NO"
"EMERALD","74 ROBERT STREET","QLD","4720","07-4982 1624","NO","NO","YES","NO","YES","NO","NO","NO","NO"
"ROCKLEA","1628 IPSWICH ROAD","QLD","4106","07-3277 1144","NO","NO","YES","YES","YES","YES","YES","YES","NO"
"MORANBAH","CNR BELYANDO & GRIFFIN STREET","QLD","4744","07-4941 7219","NO","NO","YES","NO","NO","NO","NO","NO","NO"
"TOWNSVILLE","6 UNIVERSITY ROAD","QLD","4811","07-4778 2480","NO","YES","YES","YES","YES","NO","YES","NO","YES"
"INNISFAIL","149 EDITH STREET","QLD","4860","07-4061 4221","NO","YES","YES","NO","YES","NO","NO","NO","NO"
"TOLGA","CNR LAWSON STREET & ELIZABETH STREET","QLD","4882","07-4095 4211","NO","NO","YES","NO","NO","NO","NO","YES","NO"
"ROCKHAMPTON","217 RICHARDSON ROAD","QLD","4700","07-4928 2611","NO","NO","YES","NO","NO","NO","NO","NO","NO"
"PORT DOUGLAS","13 WARNER STREET","QLD","4871","07-4099 4567","NO","YES","YES","YES","YES","NO","YES","NO","NO"
"GORDONVALE","67 GEORGE STREET","QLD","4865","07-4056 3077","NO","NO","YES","NO","NO","NO","NO","NO","NO"
"COOKTOWN","210 ENDEAVOUR VALLEY ROAD","QLD","4895","074069 6863","NO","YES","YES","NO","NO","NO","NO","NO","YES"
"MAREEBA","1 HERBERTON STREET","QLD","4880","07-4092 1373","NO","YES","YES","YES","YES","NO","YES","NO","YES"
"ST GEORGE","THALLON ROAD","QLD","4487","07-4625 3046","NO","NO","YES","NO","NO","NO","NO","NO","NO"
"BRINSMEAD","LOT 5 BRINSMEAD ROAD","QLD","4870","07 4034 1325","NO","YES","YES","YES","YES","NO","NO","NO","NO"
"CAIRNS - NORTH","333 SHERIDAN STREET","QLD","4870","07-4041 0405","NO","YES","YES","YES","YES","NO","NO","NO","YES"
"BURRA","26 COMMERCIAL STREET","SA","5417","08-8892 2236","NO","YES","YES","NO","NO","NO","YES","NO","NO"
"HAWKER","CNR 13 WILPENA ROAD & CRADOCK ROAD","SA","5434","08-8648 4014","NO","YES","YES","YES","NO","NO","NO","NO","NO"
"KINGSTON","PRINCES HWY","SA","5275","08-8767 2419","NO","NO","YES","YES","NO","NO","NO","YES","NO"
"MT GAMBIER","CNR CROUCH & COMMERCIAL STREET","SA","5290","08-8725 4200","NO","YES","YES","YES","NO","NO","NO","NO","NO"
"NULLARBOR","EYRE HIGHWAY","SA","5690","08 8625 6271","NO","YES","YES","YES","YES","NO","YES","YES","NO"
"WUDINNA","3 BURTON TERRACE","SA","5652","08-8680 2072","NO","YES","YES","NO","NO","NO","NO","NO","NO"
"LEIGH CREEK","1 BLACK OAK DRIVE","SA","5731","08-8675 2016","NO","NO","YES","YES","NO","NO","YES","NO","NO"
"STIRLING NORTH","47 QUORN ROAD","SA","5710","08-8643 6214","NO","NO","YES","YES","NO","NO","YES","NO","NO"
"PORT KENNY","SECT 102 FLINDERS HWY","SA","5671","08-8625 5076","NO","NO","YES","NO","NO","NO","NO","NO","NO"
"OLYMPIC DAM","OLYMPIC WAY NORTH","SA","5725","08-8671 0554","NO","YES","YES","YES","NO","NO","YES","YES","NO"
"WUDINNA","64 EYRE HWY","SA","5652","08-8680 2084","NO","YES","YES","YES","NO","NO","YES","NO","NO"
"PINNAROO","MALLEE HWY","SA","5304","08-8577 8488","NO","YES","YES","YES","NO","NO","YES","YES","NO"
"COFFIN BAY","113 ESPLANADE","SA","5607","08-8685 4057","NO","NO","YES","NO","NO","NO","YES","NO","NO"
"BALLARAT","CNR OLD MELB ROAD & SCOTTS PARADE","VIC","3350","03-5332 6030","NO","NO","YES","NO","NO","NO","NO","NO","NO"
"ALEXANDRA","10 DOWNEY STREET","VIC","3714","03-5772 1227","NO","NO","YES","YES","NO","NO","YES","YES","NO"
"WARRNAMBOOL","589 RAGLAN PARADE","VIC","3280","03 5562 6644","NO","YES","YES","YES","NO","NO","YES","NO","NO"
"HAMILTON","122 FRENCH STREET","VIC","3300","03-5572 4999","NO","NO","YES","NO","NO","NO","NO","NO","NO"
"BAIRNSDALE","57 MAIN STREET","VIC","3875","03-5152 3428","NO","YES","YES","YES","NO","NO","NO","NO","NO"
"HORSHAM","129 BAILLIE & URQUHART STREETS","VIC","3400","03-5382 6133","NO","NO","YES","YES","YES","NO","YES","NO","NO"
"EDENHOPE","HORSHAM ROAD","VIC","3318","03-5585  1303","NO","YES","YES","NO","NO","NO","NO","NO","NO"
"ARARAT","44 LAMBERT STREET","VIC","3377","03 5352 5566","NO","YES","YES","YES","NO","NO","YES","NO","NO"
"DAYLESFORD","MIDLAND HWY","VIC","3460","03-5348 3167","NO","NO","YES","NO","NO","NO","NO","NO","NO"
"CLUNES","7 SERVICE STREET","VIC","3370","03-5345 3139","NO","NO","YES","YES","NO","NO","NO","NO","NO"
"WARRACKNABEAL","170 SCOTT STREET (CNR SCOTT & LYLE )","VIC","3393","03-5398 1122","NO","NO","YES","YES","NO","NO","NO","NO","NO"
"NHILL","WESTERN HWY","VIC","3418","03-5391 1439","NO","NO","YES","YES","NO","NO","YES","YES","NO"
"ST ARNAUD","1 MELBOURNE ROAD","VIC","3393","03-5495 1685","NO","NO","YES","YES","NO","NO","YES","NO","NO"
"BAIRNSDALE","208 MCLEOD STREET","VIC","3844","03-5152 4340","NO","NO","YES","NO","NO","NO","NO","NO","NO"
